Relative Intensity Antonio_0.08_1.5_lampadina	Position (m) Antonio_0.08_1.5_lampadina
0.6710205	-0.08517255
0.6158905	-0.08546842
0.505188	-0.08588265
0.468399	-0.08596155
0.4525909	-0.08611935
0.2515869	-0.0866322
0.2513885	-0.08665192
0.2528229	-0.08665192
0.2567902	-0.0866322
0.2576752	-0.0866322
0.2529449	-0.0866322
0.2533875	-0.0866322
0.2521362	-0.0866322
0.2526855	-0.0866322
0.2528687	-0.0866322
0.2543488	-0.0866322
0.2548981	-0.0866322
0.2537994	-0.0866322
0.2549896	-0.0866322
0.254837	-0.0866322
0.2526703	-0.0866322
0.2539215	-0.0866322
0.2497864	-0.0866322
0.2458496	-0.0866322
0.2458038	-0.0866322
0.2445679	-0.0866322
0.2427368	-0.08665192
0.2413025	-0.08667165
0.2427216	-0.08667165
0.2187195	-0.08677027
0.1237488	-0.08730285
0.1715698	-0.08801295
0.2607269	-0.08822992
0.2962341	-0.08834827
0.3985901	-0.0885258
0.4492035	-0.0886047
0.5232544	-0.08878222
2.393219	-0.08976847
3.2654877	-0.09028132
3.4245911	-0.0903405
3.8751373	-0.09053775
4.7697296	-0.0908928
5.6488495	-0.0911295
6.8057251	-0.09138592
9.6806946	-0.09227355
12.9993591	-0.09337815
13.6239014	-0.09355567
13.6452789	-0.09355567
13.6569824	-0.09355567
13.6832428	-0.0935754
13.8676758	-0.0936543
14.3656311	-0.09379237
15.4073029	-0.09432495
15.9984741	-0.09466027
15.9914093	-0.09466027
16.0380707	-0.09468
16.0890808	-0.09471945
16.2119598	-0.09487725
16.327713	-0.09493642
16.3638306	-0.09497587
16.3811646	-0.0949956
16.4166412	-0.09503505
16.4460449	-0.09505477
16.4977112	-0.09511395
16.524704	-0.0951534
16.560318	-0.09533092
16.4783173	-0.09611992
16.1056671	-0.09631717
16.0919495	-0.09631717
16.0852661	-0.09631717
16.0509949	-0.0963369
15.3335876	-0.0966525
13.6111298	-0.0975204
13.3718262	-0.0975993
13.2990723	-0.0975993
12.8023071	-0.09777682
11.8758698	-0.09809242
9.965744	-0.09872362
8.3471222	-0.0991773
7.9089355	-0.09921675
7.3139954	-0.09939427
6.3058319	-0.09974932
6.0833893	-0.0998085
6.048584	-0.09982822
5.9390869	-0.09986767
5.2676086	-0.10006492
4.5820007	-0.10032135
4.5701294	-0.10034107
4.4569397	-0.10040025
3.3932648	-0.1009131
2.7980347	-0.10101172
2.7788849	-0.10105117
2.7468414	-0.10105117
2.7642059	-0.10105117
2.7677002	-0.10105117
2.7906036	-0.10103145
2.7800446	-0.10103145
2.7777252	-0.10103145
2.7689819	-0.10103145
2.7770538	-0.10103145
2.7765503	-0.10103145
2.7883301	-0.10103145
2.793396	-0.10103145
2.7878571	-0.10103145
2.7901459	-0.10103145
2.7911987	-0.10103145
2.7834473	-0.10103145
2.7697449	-0.10103145
2.7622681	-0.10103145
2.7575836	-0.10103145
2.7472534	-0.10103145
2.7466125	-0.10105117
2.7552338	-0.10105117
2.7324677	-0.10105117
1.9713135	-0.10134705
0.7013092	-0.10231357
0.2582397	-0.1029645
0.1464233	-0.1032801
0.1216431	-0.10341817
0.1160431	-0.10345762
0.1327209	-0.1039902
0.3785248	-0.1048581
0.6257782	-0.10544985
0.7245941	-0.10568655
0.7623138	-0.10574572
0.7750702	-0.1058049
0.9006805	-0.10639665
0.9929047	-0.10702785
0.9697113	-0.107304
0.9338837	-0.10752097
0.8991089	-0.1076985
0.8846741	-0.10773795
0.875473	-0.10781685
0.7436218	-0.1083297
0.5679626	-0.1087242
0.5387726	-0.10876365
0.5407104	-0.10876365
0.5319824	-0.10878337
0.5220947	-0.1088031
0.4610596	-0.1089609
0.3598633	-0.10923705
0.3386536	-0.10929622
0.3118286	-0.10937512
0.2786713	-0.10949347
0.2198639	-0.10971045
0.1479034	-0.1100655
0.0989075	-0.11034165
0.087265	-0.11042055
0.072403	-0.11057835
0.0614777	-0.11075587
0.0542145	-0.11118982
0.0608215	-0.11138707
0.0645599	-0.11146597
0.066452	-0.11150542
0.0827179	-0.11178157
0.1002808	-0.11197882
0.1052399	-0.11201827
0.1118011	-0.1121169
0.1356964	-0.11237332
0.1528473	-0.1125114
0.1616669	-0.1125903
0.1891327	-0.11288617
0.2071991	-0.11302425
0.2203369	-0.1132215
0.2669525	-0.11363572
0.27948	-0.11387242
0.2845306	-0.11389215
0.2984467	-0.11412885
0.3111725	-0.11452335
0.3157043	-0.11460225
0.3171997	-0.1149573
0.3173065	-0.11515455
0.3123169	-0.11533207
0.2925568	-0.11580547
0.2853088	-0.11594355
0.2763672	-0.11604217
0.2749176	-0.1160619
0.2776794	-0.1160619
0.2782288	-0.11604217
0.2782745	-0.11604217
0.2780457	-0.11604217
0.2779236	-0.11604217
0.2779999	-0.11604217
0.2775116	-0.11604217
0.2778625	-0.11604217
0.2785645	-0.11604217
0.278717	-0.11604217
0.278183	-0.11604217
0.2783966	-0.11604217
0.2781067	-0.11604217
0.2780457	-0.11604217
0.2775116	-0.11604217
0.2784424	-0.11604217
0.2778625	-0.11604217
0.2777252	-0.11604217
0.27771	-0.11604217
0.2773132	-0.11604217
0.2772369	-0.11604217
0.2769928	-0.11604217
0.277359	-0.1160619
0.2766113	-0.1160619
0.2751465	-0.11612107
0.1989136	-0.116772
0.1568756	-0.11728485
0.1577911	-0.11730457
0.1568909	-0.11730457
0.1526337	-0.1173243
0.1203613	-0.11760045
0.0861206	-0.11799495
0.0812225	-0.11807385
0.0628662	-0.11831055
0.0515289	-0.11864587
0.0479126	-0.11880367
0.0477448	-0.11900092
0.0526428	-0.11923762
0.0777435	-0.11986882
0.0975647	-0.12028305
0.1021423	-0.1204014
0.1077728	-0.1204803
0.1133118	-0.12059865
0.1245728	-0.12081562
0.1360168	-0.1211115
0.1508484	-0.12154545
0.1604004	-0.12195967
0.1628418	-0.12211747
0.1643066	-0.12215692
0.1681366	-0.1224528
0.1694489	-0.12280785
0.1700287	-0.1229262
0.1699677	-0.12306427
0.1682587	-0.1233996
0.1627045	-0.12373492
0.1566467	-0.12401107
0.1531219	-0.12414915
0.1469116	-0.12432667
0.1371765	-0.1245831
0.121048	-0.12495787
0.1046295	-0.12527347
0.09552	-0.12541155
0.0921783	-0.12547072
0.0803375	-0.12566797
0.0785065	-0.12570742
0.071167	-0.12586522
0.061676	-0.12606247
0.0491333	-0.12643725
0.0393524	-0.1269501
0.0397644	-0.12720652
0.0433655	-0.12752212
0.048233	-0.12777855
0.0492249	-0.12783772
0.0521088	-0.12795607
0.0587463	-0.1282125
0.0611725	-0.12831112
0.0679321	-0.12854782
0.073822	-0.12872535
0.0797882	-0.12890287
0.0926056	-0.12927765
0.0990295	-0.1294749
0.1130829	-0.12990885
0.1193848	-0.13004692
0.1200562	-0.13004692
0.1200867	-0.13004692
0.1203613	-0.13004692
0.120636	-0.13004692
0.119873	-0.13004692
0.1188507	-0.12998775
0.1196442	-0.12998775
0.1194611	-0.12998775
0.1194305	-0.12998775
0.1193085	-0.12998775
0.1194458	-0.12998775
0.1194611	-0.12998775
0.1197968	-0.12998775
0.119873	-0.12998775
0.1202545	-0.12998775
0.1194763	-0.12998775
0.1193848	-0.12998775
0.1198578	-0.12998775
0.1200104	-0.12998775
0.1202698	-0.13004692
0.1208038	-0.13004692
0.1207275	-0.13004692
0.1208191	-0.13004692
0.1208496	-0.13006665
0.1234436	-0.13012582
0.1248932	-0.13016527
0.128006	-0.13028362
0.1430969	-0.1308951
0.147583	-0.1311318
0.1479797	-0.13119097
0.1459045	-0.13162492
0.1298828	-0.13213777
0.1108856	-0.13253227
0.0958252	-0.1327887
0.0793457	-0.13304512
0.0690002	-0.13328182
0.0520325	-0.13371577
0.0453949	-0.13391302
0.0407104	-0.13416945
0.0372467	-0.13454422
0.0363312	-0.1348401
0.036972	-0.1349979
0.0400238	-0.13535295
0.0502167	-0.13582635
0.0549316	-0.13598415
0.0635223	-0.13628002
0.0780334	-0.13669425
0.0896301	-0.13700985
0.0983582	-0.13730572
0.1016998	-0.13746352
0.1058502	-0.13779885
0.1024323	-0.13829197
0.0981445	-0.13850895
0.0951233	-0.13864702
0.0924988	-0.13874565
0.0910339	-0.13882455
0.0843811	-0.13919932
0.0731812	-0.1397319
0.0672302	-0.14000805
0.060379	-0.14054062
0.0524597	-0.14105347
0.0499725	-0.14113237
0.0491943	-0.14121127
0.04776	-0.1413888
0.0440063	-0.14156632
0.0421906	-0.14174385
0.038681	-0.14203972
0.0371552	-0.1421778
0.0367432	-0.14227642
0.0354156	-0.14261175
0.0356598	-0.14284845
0.0358276	-0.14286817
0.037674	-0.14316405
0.0410461	-0.1435191
0.0439911	-0.14377552
0.0444641	-0.14381497
0.0444641	-0.14381497
0.0445404	-0.14381497
0.0441742	-0.14381497
0.0441132	-0.14381497
0.0438385	-0.14381497
0.0442047	-0.14381497
0.044342	-0.14381497
0.0443573	-0.14381497
0.0443115	-0.14381497
0.0437469	-0.14381497
0.0441742	-0.14381497
0.043808	-0.14381497
0.0438995	-0.14381497
0.044342	-0.14381497
0.0443573	-0.14381497
0.0441284	-0.14381497
0.044632	-0.14381497
0.0445709	-0.14381497
0.0444489	-0.14381497
0.0445404	-0.14381497
0.0444641	-0.14381497
0.0441437	-0.1438347
0.0470428	-0.14418975
0.0601654	-0.14495902
0.0763245	-0.14559022
0.085968	-0.14584665
0.0872803	-0.14598472
0.0918121	-0.14641867
0.0901794	-0.14673427
0.0802612	-0.1473063
0.062439	-0.14791777
0.0562286	-0.14815447
0.0529022	-0.148332
0.0521393	-0.14835172
0.0492859	-0.14860815
0.0462341	-0.14882512
0.0417023	-0.14933797
0.0361786	-0.14994945
0.0359039	-0.15000862
0.0356598	-0.15010725
0.0352936	-0.15024532
0.0348206	-0.15028477
0.0351563	-0.1504623
0.0349121	-0.15050175
0.0352173	-0.15052147
0.0353394	-0.15079762
0.0384827	-0.15136965
0.0455322	-0.15207975
0.0515442	-0.15255315
0.053299	-0.15265177
0.0581055	-0.15296737
0.0693665	-0.15357885
0.0761414	-0.15426922
0.0687256	-0.1548807
0.0642548	-0.15507795
0.0607147	-0.15525547
0.0592041	-0.15531465
0.058609	-0.1553541
0.0549316	-0.1555908
0.0516663	-0.15578805
0.0485992	-0.15600502
0.0492401	-0.15600502
0.0492859	-0.15600502
0.0493469	-0.15600502
0.0493774	-0.15600502
0.0494843	-0.15600502
0.0494385	-0.15600502
0.0496063	-0.15600502
0.0497589	-0.15600502
0.0496063	-0.15600502
0.0491486	-0.15600502
0.0493317	-0.15600502
0.0494385	-0.15600502
0.0492096	-0.15600502
0.0489197	-0.15600502
0.0492249	-0.15600502
0.0493164	-0.15602475
0.0425262	-0.1567743
0.0368652	-0.15750412
0.0346222	-0.1578789
0.0355072	-0.15878625
0.0431366	-0.15965415
0.0550079	-0.1604037
0.0609894	-0.1613505
0.0543365	-0.16255372
0.0531464	-0.16330327
0.0489807	-0.16401337
0.0385132	-0.16494045
0.0336456	-0.16588725
0.0336304	-0.1660845
0.0338898	-0.16610422
0.0336304	-0.16612395
0.0339661	-0.16610422
0.0340424	-0.16610422
0.0342255	-0.16610422
0.0337524	-0.16610422
0.0338898	-0.16610422
0.0342255	-0.16610422
0.0336609	-0.16610422
0.0343323	-0.16610422
0.0341797	-0.16610422
0.0341797	-0.16610422
0.0340424	-0.16610422
0.0342712	-0.16618312
0.0357819	-0.1667946
0.0447083	-0.16815562
0.0479889	-0.16862902
0.0489502	-0.168846
0.0539093	-0.16943775
0.0564728	-0.16983225
0.0545654	-0.1705029
0.0447083	-0.17164695
0.0377197	-0.17283045
0.0346222	-0.17346165
0.0335236	-0.17363917
0.0337219	-0.17383642
0.0351105	-0.17462542
0.0391388	-0.17521717
0.0437012	-0.175947
0.0461731	-0.17701215
0.0474548	-0.17716995
0.0488892	-0.1774461
0.0500031	-0.17758417
0.0495453	-0.17758417
0.0501099	-0.17758417
0.0496674	-0.17758417
0.0501556	-0.17758417
0.0496979	-0.17758417
0.0499725	-0.17758417
0.0501404	-0.17758417
0.0498199	-0.17758417
0.0500946	-0.17758417
0.0527039	-0.1780773
0.0400391	-0.17979337
0.0397644	-0.17979337
0.0395813	-0.1798131
0.0399017	-0.1798131
0.0399475	-0.17979337
0.0398102	-0.17979337
0.039856	-0.17979337
0.0400848	-0.17979337
0.0402527	-0.17979337
0.040451	-0.17979337
0.0400848	-0.17979337
0.0404053	-0.17979337
0.0402222	-0.17979337
0.0397491	-0.17977365
0.0401001	-0.17977365
0.0401001	-0.1797342
0.0379028	-0.17937915
0.0389099	-0.17922135
0.0424652	-0.1785507
0.052948	-0.17758417
0.0537567	-0.17734747
0.0501404	-0.1764993
0.0455475	-0.1755525
0.0426941	-0.1749213
0.0410004	-0.17462542
0.0370331	-0.1739745
0.0341492	-0.17292907
0.0352478	-0.1726332
0.0354309	-0.17251485
0.0391083	-0.1716864
0.0428009	-0.17117355
0.0453644	-0.1707396
0.0567932	-0.16953637
0.0547028	-0.1690038
0.0541992	-0.16894462
0.0541382	-0.1689249
0.0541077	-0.1689249
0.0542603	-0.1689249
0.0542297	-0.1689249
0.0540009	-0.1689249
0.0539703	-0.1689249
0.0542145	-0.1689249
0.0541382	-0.1689249
0.0542603	-0.1689249
0.0547943	-0.1689249
0.0528717	-0.1686093
0.0466614	-0.1678203
0.04422	-0.1671891
0.0370483	-0.1661634
0.0337677	-0.16509825
0.0338593	-0.16494045
0.0397797	-0.16421062
0.0520477	-0.16306657
0.0535431	-0.16231702
0.0542297	-0.16208032
0.058548	-0.16125187
0.0615234	-0.16058122
0.0614319	-0.16050232
0.0619049	-0.1604826
0.062027	-0.1604826
0.061554	-0.16050232
0.0613708	-0.16050232
0.0613708	-0.16050232
0.0616455	-0.16050232
0.0614929	-0.16050232
0.0616455	-0.16050232
0.0617371	-0.16050232
0.061615	-0.16050232
0.0613861	-0.16050232
0.0615387	-0.16042342
0.0544128	-0.1597725
0.0364227	-0.1583523
0.0343323	-0.15734632
0.0356293	-0.15703072
0.0398865	-0.15663622
0.0518188	-0.15557107
0.0613251	-0.15484125
0.069931	-0.1540917
0.0756073	-0.15334215
0.0615082	-0.1524348
0.0527802	-0.15194168
0.0504608	-0.15176415
0.0450745	-0.1513302
0.0443573	-0.15131048
0.0445251	-0.1513302
0.0444031	-0.1513302
0.044693	-0.1513302
0.0445557	-0.1513302
0.0443268	-0.1513302
0.044693	-0.1513302
0.0445404	-0.1513302
0.0448608	-0.1513302
0.0444336	-0.1513302
0.0448151	-0.1513302
0.0446014	-0.15131048
0.0423737	-0.15111323
0.0352478	-0.15002835
0.0407104	-0.14884485
0.0546265	-0.14756273
0.0821533	-0.14649758
0.0911713	-0.1454916
0.0782623	-0.14480123
0.0648041	-0.14428838
0.051712	-0.143598
0.0422821	-0.1429668
0.0366364	-0.14239478
0.0356903	-0.14182275
0.0359192	-0.14166495
0.0359802	-0.14166495
0.0361938	-0.14172413
0.0393219	-0.1417833
0.0389709	-0.1417833
0.0385284	-0.1417833
0.0389252	-0.1417833
0.0388184	-0.1417833
0.0390625	-0.1417833
0.0385895	-0.1417833
0.0389099	-0.1417833
0.0384369	-0.1417833
0.0385437	-0.14172413
0.0384064	-0.1417044
0.0387268	-0.1417044
0.0384216	-0.1417044
0.038269	-0.14168468
0.0381012	-0.14144798
0.0422668	-0.14111265
0.0476227	-0.14079705
0.0548401	-0.14042228
