Light Intensity (% of scale max) Alessandra_0.16_1.5_lampadina	Position (m) Alessandra_0.16_1.5_lampadina
0.04681	-0.047794
0.04703	-0.047794
0.04715	-0.047813
0.04697	-0.047833
0.04724	-0.047873
0.04694	-0.04803
0.04594	-0.048228
0.04474	-0.048326
0.04291	-0.048543
0.04169	-0.048721
0.04031	-0.04878
0.03922	-0.048938
0.03874	-0.049017
0.0379	-0.049096
0.03741	-0.049194
0.03754	-0.049194
0.03749	-0.049194
0.03714	-0.049234
0.03654	-0.049431
0.03603	-0.049668
0.03664	-0.049924
0.0383	-0.05022
0.04041	-0.050437
0.0421	-0.050575
0.04274	-0.050634
0.04323	-0.050674
0.04349	-0.050752
0.04474	-0.050831
0.04533	-0.050891
0.04573	-0.050989
0.04628	-0.051048
0.04709	-0.051206
0.04803	-0.051344
0.04869	-0.051482
0.04889	-0.05164
0.04845	-0.051739
0.04872	-0.051877
0.0481	-0.052015
0.04741	-0.052192
0.0466	-0.052311
0.04547	-0.052449
0.04414	-0.052508
0.0439	-0.052547
0.04413	-0.052547
0.04454	-0.052488
0.04494	-0.052488
0.0448	-0.052488
0.04443	-0.052488
0.04485	-0.052488
0.04414	-0.052488
0.04483	-0.052488
0.04457	-0.052488
0.04462	-0.052488
0.04456	-0.052488
0.04494	-0.052528
0.04448	-0.052547
0.04428	-0.052547
0.04439	-0.052567
0.04247	-0.052824
0.03961	-0.053139
0.03783	-0.053435
0.03847	-0.053731
0.04019	-0.053968
0.04105	-0.054066
0.04182	-0.054145
0.04243	-0.054263
0.04451	-0.054441
0.04619	-0.054638
0.04912	-0.054934
0.0519	-0.055269
0.05235	-0.055427
0.05203	-0.055546
0.05124	-0.055644
0.05151	-0.055644
0.05124	-0.055644
0.05113	-0.055782
0.05014	-0.05596
0.04904	-0.056118
0.04735	-0.056216
0.04646	-0.056315
0.04457	-0.056473
0.04349	-0.056571
0.04274	-0.05663
0.04082	-0.056828
0.03949	-0.056907
0.03851	-0.057025
0.03838	-0.057124
0.03749	-0.057242
0.03711	-0.05736
0.03728	-0.057538
0.03801	-0.057676
0.0394	-0.057853
0.04184	-0.05807
0.04451	-0.058248
0.04692	-0.058406
0.05019	-0.058583
0.05292	-0.058741
0.05473	-0.05884
0.05716	-0.059017
0.05858	-0.059214
0.05995	-0.059333
0.06042	-0.059491
0.05957	-0.059629
0.05922	-0.059786
0.05881	-0.059865
0.05727	-0.060003
0.05672	-0.060063
0.05617	-0.060063
0.05667	-0.060063
0.05669	-0.060063
0.05641	-0.060023
0.0567	-0.060023
0.05687	-0.060023
0.05663	-0.060023
0.05623	-0.060023
0.05669	-0.060023
0.05664	-0.060023
0.05676	-0.060023
0.05675	-0.060023
0.0563	-0.060023
0.05658	-0.060023
0.0564	-0.060023
0.05612	-0.060023
0.05603	-0.060063
0.05618	-0.060063
0.0563	-0.060063
0.05592	-0.060063
0.05571	-0.060063
0.05617	-0.060063
0.05441	-0.06026
