Light Intensity (% of scale max) Alessio_0.02_1.0_candela	Position (m) Alessio_0.02_1.0_candela
1.8000000000	-0.0683000000
1.8000000000	-0.0683000000
1.9000000000	-0.0683000000
1.9000000000	-0.0683000000
1.9000000000	-0.0683000000
1.8000000000	-0.0684000000
1.9000000000	-0.0689000000
2.0000000000	-0.0692000000
2.1000000000	-0.0692000000
2.3000000000	-0.0695000000
2.4000000000	-0.0697000000
2.4000000000	-0.0697000000
2.4000000000	-0.0700000000
2.5000000000	-0.0703000000
2.6000000000	-0.0704000000
2.8000000000	-0.0706000000
3.0000000000	-0.0709000000
3.1000000000	-0.0710000000
3.2000000000	-0.0712000000
3.3000000000	-0.0713000000
3.2000000000	-0.0713000000
3.3000000000	-0.0713000000
3.4000000000	-0.0713000000
3.4000000000	-0.0713000000
3.3000000000	-0.0713000000
3.3000000000	-0.0713000000
3.2000000000	-0.0713000000
3.3000000000	-0.0713000000
3.4000000000	-0.0713000000
3.4000000000	-0.0713000000
3.4000000000	-0.0713000000
3.3000000000	-0.0713000000
3.3000000000	-0.0713000000
3.6000000000	-0.0716000000
3.8000000000	-0.0718000000
3.9000000000	-0.0718000000
3.9000000000	-0.0720000000
4.1000000000	-0.0723000000
4.4000000000	-0.0725000000
4.9000000000	-0.0727000000
5.5000000000	-0.0731000000
5.9000000000	-0.0734000000
6.2000000000	-0.0736000000
6.4000000000	-0.0738000000
7.1000000000	-0.0740000000
7.6000000000	-0.0742000000
7.7000000000	-0.0742000000
7.8000000000	-0.0743000000
8.1000000000	-0.0744000000
8.2000000000	-0.0744000000
8.2000000000	-0.0744000000
8.1000000000	-0.0744000000
8.1000000000	-0.0744000000
8.1000000000	-0.0744000000
8.1000000000	-0.0744000000
8.1000000000	-0.0744000000
7.9000000000	-0.0744000000
7.9000000000	-0.0744000000
8.1000000000	-0.0744000000
8.1000000000	-0.0744000000
8.2000000000	-0.0745000000
9.5000000000	-0.0752000000
10.5000000000	-0.0754000000
11.3000000000	-0.0756000000
12.2000000000	-0.0759000000
12.5000000000	-0.0760000000
13.5000000000	-0.0763000000
14.3000000000	-0.0764000000
15.4000000000	-0.0767000000
17.0000000000	-0.0771000000
17.2000000000	-0.0772000000
17.8000000000	-0.0773000000
18.3000000000	-0.0773000000
18.2000000000	-0.0773000000
17.9000000000	-0.0773000000
18.0000000000	-0.0773000000
18.2000000000	-0.0773000000
18.2000000000	-0.0773000000
18.0000000000	-0.0773000000
18.2000000000	-0.0773000000
18.4000000000	-0.0773000000
18.2000000000	-0.0773000000
18.1000000000	-0.0773000000
18.2000000000	-0.0773000000
18.3000000000	-0.0773000000
18.2000000000	-0.0774000000
19.0000000000	-0.0780000000
20.1000000000	-0.0784000000
20.9000000000	-0.0784000000
21.5000000000	-0.0785000000
21.7000000000	-0.0788000000
22.3000000000	-0.0791000000
22.7000000000	-0.0793000000
23.3000000000	-0.0795000000
23.4000000000	-0.0798000000
23.6000000000	-0.0800000000
24.2000000000	-0.0804000000
24.8000000000	-0.0804000000
25.0000000000	-0.0804000000
24.9000000000	-0.0804000000
24.8000000000	-0.0804000000
25.1000000000	-0.0804000000
25.1000000000	-0.0804000000
25.2000000000	-0.0804000000
25.3000000000	-0.0804000000
25.3000000000	-0.0804000000
25.0000000000	-0.0804000000
25.0000000000	-0.0804000000
25.7000000000	-0.0804000000
26.0000000000	-0.0804000000
25.6000000000	-0.0804000000
25.5000000000	-0.0805000000
25.8000000000	-0.0809000000
26.2000000000	-0.0812000000
26.2000000000	-0.0813000000
26.9000000000	-0.0816000000
27.1000000000	-0.0820000000
27.3000000000	-0.0824000000
28.3000000000	-0.0828000000
28.8000000000	-0.0829000000
28.9000000000	-0.0831000000
29.1000000000	-0.0833000000
29.3000000000	-0.0833000000
29.3000000000	-0.0836000000
29.5000000000	-0.0837000000
30.0000000000	-0.0838000000
30.1000000000	-0.0838000000
30.1000000000	-0.0837000000
30.4000000000	-0.0837000000
30.6000000000	-0.0837000000
30.2000000000	-0.0837000000
30.3000000000	-0.0837000000
30.8000000000	-0.0837000000
30.6000000000	-0.0837000000
30.3000000000	-0.0837000000
30.5000000000	-0.0837000000
30.7000000000	-0.0837000000
30.7000000000	-0.0837000000
30.4000000000	-0.0837000000
30.5000000000	-0.0839000000
31.2000000000	-0.0850000000
32.0000000000	-0.0853000000
32.7000000000	-0.0854000000
32.8000000000	-0.0859000000
32.5000000000	-0.0861000000
32.8000000000	-0.0864000000
33.8000000000	-0.0866000000
34.0000000000	-0.0867000000
34.2000000000	-0.0869000000
34.5000000000	-0.0870000000
35.4000000000	-0.0873000000
35.8000000000	-0.0873000000
35.9000000000	-0.0873000000
36.2000000000	-0.0873000000
36.4000000000	-0.0873000000
36.5000000000	-0.0873000000
36.1000000000	-0.0873000000
36.3000000000	-0.0873000000
36.5000000000	-0.0873000000
36.3000000000	-0.0873000000
36.3000000000	-0.0873000000
36.3000000000	-0.0873000000
35.9000000000	-0.0873000000
35.4000000000	-0.0874000000
36.4000000000	-0.0879000000
36.9000000000	-0.0883000000
37.1000000000	-0.0883000000
37.3000000000	-0.0883000000
37.2000000000	-0.0883000000
36.9000000000	-0.0885000000
37.1000000000	-0.0888000000
38.7000000000	-0.0892000000
39.2000000000	-0.0893000000
39.4000000000	-0.0895000000
39.8000000000	-0.0900000000
40.8000000000	-0.0901000000
41.2000000000	-0.0903000000
41.3000000000	-0.0906000000
41.7000000000	-0.0907000000
42.2000000000	-0.0907000000
42.0000000000	-0.0906000000
41.9000000000	-0.0906000000
42.3000000000	-0.0906000000
42.3000000000	-0.0906000000
42.3000000000	-0.0906000000
42.3000000000	-0.0906000000
42.2000000000	-0.0906000000
41.9000000000	-0.0906000000
41.9000000000	-0.0906000000
41.9000000000	-0.0906000000
42.1000000000	-0.0907000000
42.2000000000	-0.0911000000
43.4000000000	-0.0919000000
44.0000000000	-0.0921000000
44.5000000000	-0.0923000000
44.6000000000	-0.0927000000
44.8000000000	-0.0930000000
45.9000000000	-0.0931000000
46.3000000000	-0.0934000000
46.4000000000	-0.0937000000
46.9000000000	-0.0938000000
47.1000000000	-0.0938000000
47.0000000000	-0.0938000000
47.2000000000	-0.0937000000
47.5000000000	-0.0937000000
47.8000000000	-0.0937000000
48.3000000000	-0.0937000000
48.2000000000	-0.0937000000
47.9000000000	-0.0937000000
47.7000000000	-0.0937000000
47.6000000000	-0.0937000000
47.5000000000	-0.0937000000
47.7000000000	-0.0938000000
47.9000000000	-0.0938000000
47.8000000000	-0.0938000000
47.3000000000	-0.0940000000
47.5000000000	-0.0944000000
48.1000000000	-0.0945000000
48.5000000000	-0.0947000000
49.1000000000	-0.0949000000
49.9000000000	-0.0951000000
52.4000000000	-0.0958000000
53.5000000000	-0.0962000000
53.8000000000	-0.0963000000
54.3000000000	-0.0967000000
54.5000000000	-0.0971000000
55.0000000000	-0.0972000000
55.7000000000	-0.0972000000
55.3000000000	-0.0972000000
55.0000000000	-0.0972000000
55.3000000000	-0.0972000000
55.5000000000	-0.0972000000
55.2000000000	-0.0972000000
55.7000000000	-0.0972000000
55.5000000000	-0.0972000000
55.4000000000	-0.0972000000
55.6000000000	-0.0972000000
55.3000000000	-0.0972000000
55.3000000000	-0.0972000000
55.6000000000	-0.0972000000
55.5000000000	-0.0976000000
56.6000000000	-0.0981000000
57.5000000000	-0.0981000000
57.8000000000	-0.0983000000
58.3000000000	-0.0987000000
59.1000000000	-0.0989000000
59.6000000000	-0.0992000000
60.4000000000	-0.0997000000
61.7000000000	-0.0998000000
62.0000000000	-0.1001000000
62.9000000000	-0.1004000000
64.3000000000	-0.1005000000
64.9000000000	-0.1006000000
64.7000000000	-0.1006000000
64.5000000000	-0.1006000000
64.4000000000	-0.1006000000
64.2000000000	-0.1006000000
64.4000000000	-0.1006000000
64.6000000000	-0.1006000000
64.4000000000	-0.1006000000
64.4000000000	-0.1006000000
64.1000000000	-0.1006000000
64.0000000000	-0.1006000000
63.7000000000	-0.1006000000
63.8000000000	-0.1006000000
63.8000000000	-0.1006000000
64.2000000000	-0.1011000000
64.4000000000	-0.1013000000
64.2000000000	-0.1014000000
63.6000000000	-0.1019000000
63.2000000000	-0.1023000000
62.5000000000	-0.1026000000
61.2000000000	-0.1031000000
58.8000000000	-0.1036000000
57.5000000000	-0.1039000000
55.5000000000	-0.1043000000
54.5000000000	-0.1044000000
54.1000000000	-0.1044000000
54.1000000000	-0.1044000000
54.5000000000	-0.1044000000
54.1000000000	-0.1044000000
53.8000000000	-0.1044000000
53.8000000000	-0.1044000000
53.9000000000	-0.1044000000
53.9000000000	-0.1044000000
53.9000000000	-0.1044000000
53.7000000000	-0.1044000000
53.5000000000	-0.1044000000
54.0000000000	-0.1044000000
54.1000000000	-0.1044000000
54.1000000000	-0.1046000000
48.1000000000	-0.1052000000
45.9000000000	-0.1055000000
44.3000000000	-0.1057000000
41.7000000000	-0.1059000000
40.8000000000	-0.1060000000
38.5000000000	-0.1064000000
37.0000000000	-0.1066000000
36.0000000000	-0.1067000000
34.4000000000	-0.1070000000
33.7000000000	-0.1071000000
32.3000000000	-0.1073000000
30.6000000000	-0.1076000000
29.7000000000	-0.1077000000
29.6000000000	-0.1078000000
30.0000000000	-0.1078000000
29.8000000000	-0.1078000000
29.5000000000	-0.1077000000
29.7000000000	-0.1077000000
29.8000000000	-0.1077000000
29.7000000000	-0.1077000000
29.7000000000	-0.1077000000
29.8000000000	-0.1077000000
29.6000000000	-0.1077000000
29.5000000000	-0.1078000000
30.0000000000	-0.1078000000
29.6000000000	-0.1079000000
26.9000000000	-0.1084000000
25.9000000000	-0.1087000000
25.5000000000	-0.1088000000
24.7000000000	-0.1090000000
24.0000000000	-0.1093000000
23.3000000000	-0.1096000000
22.4000000000	-0.1099000000
22.1000000000	-0.1101000000
21.8000000000	-0.1103000000
21.6000000000	-0.1105000000
21.5000000000	-0.1107000000
21.6000000000	-0.1108000000
21.5000000000	-0.1108000000
21.4000000000	-0.1107000000
21.4000000000	-0.1107000000
21.5000000000	-0.1107000000
21.3000000000	-0.1107000000
21.2000000000	-0.1107000000
21.3000000000	-0.1107000000
21.3000000000	-0.1107000000
21.3000000000	-0.1107000000
21.1000000000	-0.1108000000
21.1000000000	-0.1108000000
21.4000000000	-0.1108000000
21.3000000000	-0.1108000000
20.7000000000	-0.1113000000
20.4000000000	-0.1119000000
20.8000000000	-0.1121000000
21.0000000000	-0.1124000000
21.1000000000	-0.1126000000
21.2000000000	-0.1129000000
21.4000000000	-0.1132000000
21.6000000000	-0.1135000000
21.5000000000	-0.1138000000
21.5000000000	-0.1140000000
21.4000000000	-0.1141000000
21.1000000000	-0.1143000000
20.8000000000	-0.1145000000
20.5000000000	-0.1146000000
20.5000000000	-0.1146000000
20.6000000000	-0.1146000000
20.7000000000	-0.1146000000
20.6000000000	-0.1146000000
20.6000000000	-0.1146000000
20.6000000000	-0.1146000000
20.8000000000	-0.1146000000
20.7000000000	-0.1146000000
20.5000000000	-0.1146000000
20.6000000000	-0.1146000000
