Time (s) intensità_laser_sole.1	Light Intensity (% of scale max) intensità_laser_sole.1
29.08	23.89888
29.12	23.89058
29.16	23.89275
29.2	23.89565
29.24	23.89034
29.28	23.89494
29.32	23.89569
29.36	23.89487
29.4	23.8905
29.44	23.89378
29.48	23.89363
29.52	23.89105
29.56	23.89313
29.6	23.89352
29.64	23.88766
29.68	23.89612
29.72	23.89752
29.76	23.8918
29.8	23.89786
29.84	23.89738
29.88	23.88849
29.92	23.89032
29.96	23.89163
30.0	23.89125
30.04	23.88902
30.08	23.88762
30.12	23.89307
30.16	23.88739
30.2	23.88802
30.24	23.89442
30.28	23.88988
30.32	23.8893
30.36	23.89182
30.4	23.89284
30.44	23.88979
30.48	23.89064
30.52	23.88728
30.56	23.8867
30.6	23.8868
30.64	23.88519
30.68	23.88565
30.72	23.88411
30.76	23.8848
30.8	23.88405
30.84	23.88686
30.88	23.8876
30.92	23.8806
30.96	23.88835
31.0	23.89111
31.04	23.88977
31.08	23.89433
31.12	23.89334
31.16	23.88722
31.2	23.89531
31.24	23.89166
31.28	23.89299
31.32	23.90146
31.36	23.89626
31.4	23.90105
31.44	23.9028
31.48	23.90341
31.52	23.90462
31.56	23.90781
31.6	23.90411
31.64	23.89938
31.68	23.89748
31.72	23.90007
31.76	23.89357
31.8	23.89656
31.84	23.89648
31.88	23.8936
31.92	23.89003
31.96	23.89407
32.0	23.89049
32.04	23.88472
32.08	23.8848
32.12	23.87892
32.16	23.87859
32.2	23.86534
32.24	23.87013
32.28	23.87978
32.32	23.87166
32.36	23.87062
32.4	23.86871
32.44	23.85902
32.48	23.86183
32.52	23.86014
32.56	23.87189
32.6	23.88167
32.64	23.87831
32.68	23.88176
32.72	23.88232
32.76	23.87865
32.8	23.88655
32.84	23.88091
32.88	23.87567
32.92	23.8701
32.96	23.86447
33.0	23.86186
33.04	23.87314
33.08	23.8756
33.12	23.88483
33.16	23.88666
33.2	23.88666
33.24	23.88394
33.28	23.88469
33.32	23.88365
33.36	23.89055
33.4	23.88969
33.44	23.88838
33.48	23.89102
33.52	23.89606
33.56	23.89186
33.6	23.88504
33.64	23.89134
33.68	23.88805
33.72	23.89532
33.76	23.89333
33.8	23.89069
33.84	23.89452
33.88	23.89302
33.92	23.89626
33.96	23.88776
34.0	23.88255
34.04	23.89119
34.08	23.89841
34.12	23.89543
34.16	23.89316
34.2	23.89934
34.24	23.89496
34.28	23.90144
34.32	23.90494
34.36	23.89777
34.4	23.90317
34.44	23.89624
34.48	23.89711
34.52	23.8922
34.56	23.89047
34.6	23.88956
34.64	23.89012
34.68	23.88838
34.72	23.8844
34.76	23.88461
34.8	23.88747
34.84	23.88623
34.88	23.8912
34.92	23.89287
34.96	23.89111
35.0	23.89853
35.04	23.90071
35.08	23.89485
35.12	23.89984
35.16	23.89381
35.2	23.89249
35.24	23.87083
35.28	23.8819
35.32	23.89034
35.36	23.89769
35.4	23.89049
35.44	23.8806
35.48	23.88361
35.52	23.88173
35.56	23.88127
35.6	23.87846
35.64	23.87463
35.68	23.88344
35.72	23.87471
35.76	23.87238
35.8	23.87955
35.84	23.88634
35.88	23.89304
35.92	23.89972
35.96	23.90404
36.0	23.91722
36.04	23.91356
36.08	23.91364
36.12	23.90729
36.16	23.89996
36.2	23.89839
36.24	23.8965
