Time (s) rumore_di_fondo_candela	Light Intensity (% of scale max) rumore_di_fondo_candela
24.2	2.5692
24.24	2.54691
24.28	2.51292
24.32	2.48479
24.36	2.47362
24.4	2.49298
24.44	2.51262
24.48	2.56084
24.52	2.55238
24.56	2.52115
24.6	2.4846
24.64	2.46265
24.68	2.47255
24.72	2.48822
24.76	2.53493
24.8	2.53708
24.84	2.50882
24.88	2.48402
24.92	2.44778
24.96	2.45134
25.0	2.47597
25.04	2.50719
25.08	2.54366
25.12	2.52409
25.16	2.49588
25.2	2.45734
25.24	2.44664
25.28	2.46658
25.32	2.49483
25.36	2.55023
25.4	2.53793
25.44	2.50706
25.48	2.4761
25.52	2.45377
25.56	2.46996
25.6	2.49323
25.64	2.54335
25.68	2.54356
25.72	2.52498
25.76	2.49458
25.8	2.45845
25.84	2.46306
25.88	2.48744
25.92	2.51466
25.96	2.55037
26.0	2.53049
26.04	2.50487
26.08	2.47087
26.12	2.45871
26.16	2.48051
26.2	2.5034
26.24	2.55289
26.28	2.54495
26.32	2.51389
26.36	2.48772
26.4	2.46304
26.44	2.476
26.48	2.4933
26.52	2.54985
26.56	2.55362
26.6	2.52905
26.64	2.49271
26.68	2.4626
26.72	2.46095
26.76	2.48199
26.8	2.51384
26.84	2.55183
26.88	2.53127
26.92	2.50252
26.96	2.46136
27.0	2.43927
27.04	2.45569
27.08	2.4828
27.12	2.52705
27.16	2.5197
27.2	2.50165
27.24	2.47636
27.28	2.45097
27.32	2.46495
27.36	2.49466
27.4	2.54437
27.44	2.55475
27.48	2.5304
27.52	2.50642
27.56	2.47595
27.6	2.47438
27.64	2.49832
27.68	2.52069
27.72	2.56822
27.76	2.55748
27.8	2.52377
27.84	2.49355
27.88	2.47429
27.92	2.49034
27.96	2.51857
28.0	2.56609
28.04	2.56509
28.08	2.53908
28.12	2.51578
28.16	2.48277
28.2	2.4917
28.24	2.51562
28.28	2.53499
28.32	2.57254
28.36	2.55544
28.4	2.52722
28.44	2.49316
28.48	2.48376
28.52	2.50429
28.56	2.52451
28.6	2.57123
28.64	2.56134
28.68	2.53992
28.72	2.5092
28.76	2.47813
28.8	2.49081
28.84	2.51823
28.88	2.56726
28.92	2.57396
28.96	2.55225
29.0	2.51747
29.04	2.4883
29.08	2.48354
29.12	2.50563
29.16	2.53534
29.2	2.57773
29.24	2.56471
29.28	2.53099
29.32	2.49936
29.36	2.47803
29.4	2.49731
29.44	2.51956
29.48	2.56834
29.52	2.56689
29.56	2.54184
29.6	2.51953
29.64	2.48589
29.68	2.49434
29.72	2.51588
29.76	2.53748
29.8	2.57278
29.84	2.55754
29.88	2.53101
29.92	2.4976
29.96	2.48637
30.0	2.5076
30.04	2.52672
30.08	2.57372
30.12	2.56563
30.16	2.54179
30.2	2.51518
30.24	2.48442
30.28	2.49678
30.32	2.52138
30.36	2.5423
30.4	2.57237
30.44	2.55476
30.48	2.52785
30.52	2.49234
30.56	2.48772
30.6	2.51219
30.64	2.5325
30.68	2.57922
30.72	2.56697
30.76	2.54584
30.8	2.51755
30.84	2.49089
30.88	2.50771
30.92	2.53433
30.96	2.5979
31.0	2.6028
31.04	2.59283
31.08	2.58072
31.12	2.56616
31.16	2.56723
31.2	2.59436
31.24	2.61723
31.28	2.6644
31.32	2.65456
31.36	2.62819
31.4	2.60164
31.44	2.57954
31.48	2.5972
31.52	2.61885
31.56	2.67195
31.6	2.67827
31.64	2.65733
31.68	2.63028
