Light Intensity (% of scale max) Alessio_0.04_1.0_lampada	Position (m) Alessio_0.04_1.0_lampada
0.0000000000	-0.0374000000
0.0000000000	-0.0380000000
0.0000000000	-0.0382000000
0.0000000000	-0.0384000000
0.0000000000	-0.0389000000
0.0000000000	-0.0392000000
0.0000000000	-0.0398000000
0.0000000000	-0.0402000000
0.0000000000	-0.0402000000
0.0000000000	-0.0405000000
0.0000000000	-0.0408000000
0.0000000000	-0.0409000000
0.0000000000	-0.0412000000
0.0000000000	-0.0414000000
0.0000000000	-0.0415000000
0.0000000000	-0.0415000000
0.0000000000	-0.0415000000
0.0000000000	-0.0414000000
0.0000000000	-0.0414000000
0.0000000000	-0.0414000000
0.0000000000	-0.0414000000
0.0000000000	-0.0414000000
0.0000000000	-0.0414000000
0.0000000000	-0.0414000000
0.0000000000	-0.0414000000
0.0000000000	-0.0415000000
0.0000000000	-0.0415000000
0.0000000000	-0.0417000000
0.0000000000	-0.0425000000
0.0000000000	-0.0430000000
0.0000000000	-0.0432000000
0.0000000000	-0.0435000000
0.0000000000	-0.0437000000
0.0000000000	-0.0440000000
0.0000000000	-0.0444000000
0.0000000000	-0.0447000000
0.0000000000	-0.0450000000
0.0000000000	-0.0451000000
0.0000000000	-0.0452000000
0.0000000000	-0.0456000000
0.0000000000	-0.0458000000
0.0000000000	-0.0458000000
0.0000000000	-0.0458000000
0.0000000000	-0.0457000000
0.0000000000	-0.0457000000
0.0000000000	-0.0457000000
0.0000000000	-0.0457000000
0.0000000000	-0.0457000000
0.0000000000	-0.0457000000
0.0000000000	-0.0457000000
0.0000000000	-0.0457000000
0.0000000000	-0.0458000000
0.0000000000	-0.0458000000
0.0000000000	-0.0458000000
0.0000000000	-0.0458000000
0.0000000000	-0.0463000000
0.0000000000	-0.0467000000
0.0000000000	-0.0468000000
0.0000000000	-0.0470000000
0.0000000000	-0.0473000000
0.0000000000	-0.0476000000
0.0000000000	-0.0480000000
0.0000000000	-0.0481000000
0.0000000000	-0.0484000000
0.0000000000	-0.0488000000
0.0000000000	-0.0489000000
0.0000000000	-0.0492000000
0.0000000000	-0.0495000000
0.0000000000	-0.0497000000
0.0000000000	-0.0500000000
0.0000000000	-0.0502000000
0.0000000000	-0.0502000000
0.0000000000	-0.0501000000
0.0000000000	-0.0501000000
0.0000000000	-0.0501000000
0.0000000000	-0.0501000000
0.0000000000	-0.0501000000
0.0000000000	-0.0501000000
0.0000000000	-0.0501000000
0.0000000000	-0.0501000000
0.0000000000	-0.0501000000
0.0000000000	-0.0501000000
0.0000000000	-0.0502000000
0.0000000000	-0.0505000000
0.0000000000	-0.0512000000
0.0000000000	-0.0513000000
0.0000000000	-0.0514000000
0.0000000000	-0.0516000000
0.0000000000	-0.0519000000
0.0000000000	-0.0523000000
0.0000000000	-0.0524000000
0.0000000000	-0.0527000000
0.0000000000	-0.0531000000
0.0000000000	-0.0532000000
0.0000000000	-0.0536000000
0.0000000000	-0.0540000000
0.0000000000	-0.0543000000
0.0000000000	-0.0546000000
0.0000000000	-0.0547000000
0.0000000000	-0.0547000000
0.0000000000	-0.0546000000
0.0000000000	-0.0546000000
0.0000000000	-0.0546000000
0.0000000000	-0.0546000000
0.0000000000	-0.0546000000
0.0000000000	-0.0546000000
0.0000000000	-0.0546000000
0.0000000000	-0.0547000000
0.0000000000	-0.0547000000
0.0000000000	-0.0547000000
0.0000000000	-0.0549000000
0.0000000000	-0.0557000000
0.1000000000	-0.0560000000
0.1000000000	-0.0561000000
0.1000000000	-0.0564000000
0.1000000000	-0.0565000000
0.1000000000	-0.0568000000
0.1000000000	-0.0570000000
0.1000000000	-0.0572000000
0.1000000000	-0.0575000000
0.1000000000	-0.0579000000
0.1000000000	-0.0582000000
0.1000000000	-0.0584000000
0.1000000000	-0.0586000000
0.1000000000	-0.0586000000
0.1000000000	-0.0587000000
0.1000000000	-0.0589000000
0.0000000000	-0.0590000000
0.0000000000	-0.0593000000
0.0000000000	-0.0594000000
0.0000000000	-0.0594000000
0.0000000000	-0.0594000000
0.0000000000	-0.0594000000
0.0000000000	-0.0594000000
0.0000000000	-0.0594000000
0.0000000000	-0.0594000000
0.0000000000	-0.0594000000
0.0000000000	-0.0594000000
0.0000000000	-0.0594000000
0.0000000000	-0.0594000000
0.0000000000	-0.0594000000
0.0000000000	-0.0596000000
0.0000000000	-0.0600000000
0.0000000000	-0.0602000000
0.0000000000	-0.0605000000
0.0000000000	-0.0608000000
0.0000000000	-0.0610000000
0.0000000000	-0.0614000000
0.0000000000	-0.0616000000
0.0000000000	-0.0618000000
0.0000000000	-0.0621000000
0.0000000000	-0.0622000000
0.0000000000	-0.0624000000
0.0000000000	-0.0628000000
0.0000000000	-0.0629000000
0.0000000000	-0.0633000000
0.0000000000	-0.0634000000
0.0000000000	-0.0634000000
0.0000000000	-0.0634000000
0.0000000000	-0.0634000000
0.0000000000	-0.0634000000
0.0000000000	-0.0634000000
0.0000000000	-0.0634000000
0.0000000000	-0.0634000000
0.0000000000	-0.0634000000
0.0000000000	-0.0634000000
0.0000000000	-0.0634000000
0.0000000000	-0.0634000000
0.0000000000	-0.0634000000
0.0000000000	-0.0634000000
0.0000000000	-0.0636000000
0.0000000000	-0.0642000000
0.0000000000	-0.0644000000
0.0000000000	-0.0646000000
0.0000000000	-0.0649000000
0.0000000000	-0.0653000000
0.0000000000	-0.0656000000
0.0000000000	-0.0657000000
0.0000000000	-0.0660000000
0.0000000000	-0.0663000000
0.0000000000	-0.0665000000
0.0000000000	-0.0667000000
0.0000000000	-0.0668000000
0.0000000000	-0.0671000000
0.1000000000	-0.0673000000
0.1000000000	-0.0673000000
0.1000000000	-0.0673000000
0.1000000000	-0.0673000000
0.1000000000	-0.0673000000
0.1000000000	-0.0673000000
0.1000000000	-0.0673000000
0.1000000000	-0.0673000000
0.1000000000	-0.0673000000
0.1000000000	-0.0673000000
0.1000000000	-0.0673000000
0.1000000000	-0.0673000000
0.1000000000	-0.0673000000
0.1000000000	-0.0673000000
0.1000000000	-0.0673000000
0.1000000000	-0.0676000000
0.1000000000	-0.0678000000
0.1000000000	-0.0679000000
0.1000000000	-0.0681000000
0.1000000000	-0.0683000000
0.1000000000	-0.0685000000
0.1000000000	-0.0690000000
0.1000000000	-0.0693000000
0.1000000000	-0.0698000000
0.1000000000	-0.0698000000
0.1000000000	-0.0700000000
0.1000000000	-0.0703000000
0.1000000000	-0.0704000000
0.1000000000	-0.0706000000
0.1000000000	-0.0708000000
0.1000000000	-0.0709000000
0.1000000000	-0.0710000000
0.1000000000	-0.0710000000
0.1000000000	-0.0710000000
0.1000000000	-0.0710000000
0.1000000000	-0.0710000000
0.1000000000	-0.0710000000
0.1000000000	-0.0710000000
0.1000000000	-0.0710000000
0.1000000000	-0.0710000000
0.1000000000	-0.0710000000
0.1000000000	-0.0710000000
0.1000000000	-0.0710000000
0.1000000000	-0.0710000000
0.1000000000	-0.0710000000
0.1000000000	-0.0710000000
0.1000000000	-0.0712000000
0.1000000000	-0.0716000000
0.1000000000	-0.0716000000
0.1000000000	-0.0717000000
0.1000000000	-0.0720000000
0.1000000000	-0.0722000000
0.1000000000	-0.0728000000
0.1000000000	-0.0731000000
0.1000000000	-0.0732000000
0.1000000000	-0.0735000000
0.1000000000	-0.0736000000
0.1000000000	-0.0738000000
0.1000000000	-0.0742000000
0.1000000000	-0.0744000000
0.1000000000	-0.0748000000
0.1000000000	-0.0755000000
0.1000000000	-0.0755000000
0.1000000000	-0.0755000000
0.1000000000	-0.0755000000
0.1000000000	-0.0755000000
0.1000000000	-0.0755000000
0.1000000000	-0.0755000000
0.1000000000	-0.0755000000
0.1000000000	-0.0755000000
0.1000000000	-0.0755000000
0.1000000000	-0.0755000000
0.1000000000	-0.0755000000
0.1000000000	-0.0755000000
0.1000000000	-0.0755000000
0.1000000000	-0.0759000000
0.1000000000	-0.0763000000
0.1000000000	-0.0763000000
0.1000000000	-0.0764000000
0.1000000000	-0.0766000000
0.1000000000	-0.0768000000
0.1000000000	-0.0772000000
0.1000000000	-0.0773000000
0.1000000000	-0.0778000000
0.0000000000	-0.0783000000
0.0000000000	-0.0787000000
0.0000000000	-0.0792000000
0.0000000000	-0.0794000000
0.0000000000	-0.0796000000
0.0000000000	-0.0799000000
0.0000000000	-0.0800000000
0.0000000000	-0.0802000000
0.0000000000	-0.0803000000
0.0000000000	-0.0803000000
0.0000000000	-0.0803000000
0.0000000000	-0.0803000000
0.0000000000	-0.0803000000
0.0000000000	-0.0803000000
0.0000000000	-0.0803000000
0.0000000000	-0.0803000000
0.0000000000	-0.0803000000
0.0000000000	-0.0803000000
0.0000000000	-0.0803000000
0.0000000000	-0.0803000000
0.0000000000	-0.0803000000
0.0000000000	-0.0805000000
0.1000000000	-0.0809000000
0.1000000000	-0.0812000000
0.1000000000	-0.0813000000
0.1000000000	-0.0816000000
0.1000000000	-0.0821000000
0.1000000000	-0.0822000000
0.2000000000	-0.0826000000
0.2000000000	-0.0831000000
0.2000000000	-0.0832000000
0.3000000000	-0.0836000000
0.3000000000	-0.0841000000
0.4000000000	-0.0844000000
0.4000000000	-0.0845000000
0.4000000000	-0.0845000000
0.4000000000	-0.0845000000
0.4000000000	-0.0845000000
0.4000000000	-0.0845000000
0.4000000000	-0.0845000000
0.4000000000	-0.0845000000
0.4000000000	-0.0845000000
0.4000000000	-0.0845000000
0.4000000000	-0.0845000000
0.4000000000	-0.0845000000
0.4000000000	-0.0845000000
0.4000000000	-0.0845000000
0.4000000000	-0.0845000000
0.4000000000	-0.0846000000
0.4000000000	-0.0850000000
0.4000000000	-0.0851000000
0.5000000000	-0.0853000000
0.6000000000	-0.0860000000
0.6000000000	-0.0862000000
0.6000000000	-0.0863000000
0.7000000000	-0.0865000000
0.7000000000	-0.0868000000
0.8000000000	-0.0871000000
0.9000000000	-0.0875000000
0.9000000000	-0.0880000000
1.1000000000	-0.0884000000
1.1000000000	-0.0884000000
1.1000000000	-0.0884000000
1.1000000000	-0.0884000000
1.1000000000	-0.0884000000
1.1000000000	-0.0884000000
1.1000000000	-0.0884000000
1.1000000000	-0.0884000000
1.1000000000	-0.0884000000
1.1000000000	-0.0884000000
1.1000000000	-0.0884000000
1.1000000000	-0.0884000000
1.1000000000	-0.0884000000
