Light Intensity (% of scale max) Antonio_0.02_1.5_lampadina_2	Position (m) Antonio_0.02_1.5_lampadina_2
0.0000000000	-0.0144000000
0.0000000000	-0.0150000000
0.0000000000	-0.0152000000
0.0000000000	-0.0157000000
0.0000000000	-0.0159000000
0.0000000000	-0.0160000000
0.0000000000	-0.0164000000
0.0000000000	-0.0172000000
0.0000000000	-0.0179000000
0.0000000000	-0.0184000000
0.0000000000	-0.0191000000
0.0000000000	-0.0192000000
0.0000000000	-0.0192000000
0.0000000000	-0.0191000000
0.0000000000	-0.0191000000
0.0000000000	-0.0191000000
0.0000000000	-0.0191000000
0.0000000000	-0.0191000000
0.0000000000	-0.0191000000
0.0000000000	-0.0191000000
0.0000000000	-0.0191000000
0.0000000000	-0.0191000000
0.0000000000	-0.0191000000
0.0000000000	-0.0191000000
0.0000000000	-0.0191000000
0.0000000000	-0.0192000000
0.0000000000	-0.0192000000
0.0000000000	-0.0194000000
0.0000000000	-0.0199000000
0.0000000000	-0.0207000000
0.0000000000	-0.0213000000
0.0000000000	-0.0217000000
0.0000000000	-0.0221000000
0.0000000000	-0.0224000000
0.0000000000	-0.0228000000
0.0000000000	-0.0232000000
0.0000000000	-0.0240000000
0.0000000000	-0.0244000000
0.0000000000	-0.0248000000
0.0000000000	-0.0255000000
0.0000000000	-0.0260000000
0.0000000000	-0.0263000000
0.0000000000	-0.0269000000
0.0000000000	-0.0272000000
0.0000000000	-0.0275000000
0.0000000000	-0.0279000000
0.0000000000	-0.0284000000
0.0000000000	-0.0293000000
0.0000000000	-0.0298000000
0.0000000000	-0.0302000000
0.0000000000	-0.0305000000
0.0000000000	-0.0305000000
0.0000000000	-0.0306000000
0.0000000000	-0.0307000000
0.0000000000	-0.0306000000
0.0000000000	-0.0305000000
0.0000000000	-0.0305000000
0.0000000000	-0.0306000000
0.0000000000	-0.0306000000
0.0000000000	-0.0306000000
0.0000000000	-0.0306000000
0.0000000000	-0.0306000000
0.0000000000	-0.0306000000
0.0000000000	-0.0306000000
0.0000000000	-0.0306000000
0.0000000000	-0.0307000000
0.0000000000	-0.0307000000
0.0000000000	-0.0308000000
0.0000000000	-0.0313000000
0.0000000000	-0.0319000000
0.0000000000	-0.0324000000
0.0000000000	-0.0326000000
0.0000000000	-0.0328000000
0.0000000000	-0.0331000000
0.0000000000	-0.0333000000
0.0000000000	-0.0335000000
0.0000000000	-0.0339000000
0.0000000000	-0.0344000000
0.0000000000	-0.0350000000
0.0000000000	-0.0353000000
0.0000000000	-0.0358000000
0.1000000000	-0.0361000000
0.1000000000	-0.0362000000
0.1000000000	-0.0364000000
0.1000000000	-0.0367000000
0.1000000000	-0.0370000000
0.1000000000	-0.0376000000
0.1000000000	-0.0381000000
0.1000000000	-0.0385000000
0.1000000000	-0.0387000000
0.1000000000	-0.0390000000
0.1000000000	-0.0393000000
0.1000000000	-0.0394000000
0.1000000000	-0.0394000000
0.1000000000	-0.0394000000
0.1000000000	-0.0394000000
0.1000000000	-0.0394000000
0.1000000000	-0.0394000000
0.1000000000	-0.0394000000
0.1000000000	-0.0394000000
0.1000000000	-0.0394000000
0.1000000000	-0.0394000000
0.1000000000	-0.0394000000
0.1000000000	-0.0394000000
0.1000000000	-0.0394000000
0.1000000000	-0.0394000000
0.1000000000	-0.0394000000
0.1000000000	-0.0395000000
0.1000000000	-0.0400000000
0.1000000000	-0.0407000000
0.1000000000	-0.0411000000
0.1000000000	-0.0416000000
0.1000000000	-0.0420000000
0.1000000000	-0.0424000000
0.1000000000	-0.0430000000
0.1000000000	-0.0434000000
0.1000000000	-0.0436000000
0.1000000000	-0.0438000000
0.1000000000	-0.0440000000
