Light Intensity (% of scale max) Alessio_doubleslit_0.08_0.5_1.5_lampadina	Position (m) Alessio_doubleslit_0.08_0.5_1.5_lampadina
0.1000000000	-0.0485000000
0.1000000000	-0.0485000000
0.1000000000	-0.0485000000
0.1000000000	-0.0486000000
0.1000000000	-0.0486000000
0.1000000000	-0.0486000000
0.1000000000	-0.0492000000
0.1000000000	-0.0498000000
0.1000000000	-0.0500000000
0.1000000000	-0.0503000000
0.1000000000	-0.0503000000
0.1000000000	-0.0505000000
0.2000000000	-0.0507000000
0.2000000000	-0.0507000000
0.2000000000	-0.0508000000
0.2000000000	-0.0508000000
0.2000000000	-0.0507000000
0.2000000000	-0.0507000000
0.2000000000	-0.0507000000
0.2000000000	-0.0507000000
0.2000000000	-0.0507000000
0.2000000000	-0.0507000000
0.2000000000	-0.0508000000
0.2000000000	-0.0508000000
0.2000000000	-0.0508000000
0.2000000000	-0.0511000000
0.2000000000	-0.0516000000
0.2000000000	-0.0520000000
0.1000000000	-0.0525000000
0.1000000000	-0.0529000000
0.1000000000	-0.0533000000
0.1000000000	-0.0536000000
0.1000000000	-0.0536000000
0.1000000000	-0.0536000000
0.1000000000	-0.0535000000
0.1000000000	-0.0535000000
0.1000000000	-0.0535000000
0.1000000000	-0.0535000000
0.1000000000	-0.0535000000
0.1000000000	-0.0535000000
0.1000000000	-0.0535000000
0.1000000000	-0.0535000000
0.1000000000	-0.0535000000
0.1000000000	-0.0535000000
0.1000000000	-0.0536000000
0.1000000000	-0.0536000000
0.1000000000	-0.0536000000
0.1000000000	-0.0538000000
0.0000000000	-0.0542000000
0.0000000000	-0.0543000000
0.0000000000	-0.0545000000
0.0000000000	-0.0545000000
0.0000000000	-0.0545000000
0.0000000000	-0.0545000000
0.0000000000	-0.0548000000
0.0000000000	-0.0550000000
0.0000000000	-0.0551000000
0.0000000000	-0.0551000000
0.0000000000	-0.0551000000
0.0000000000	-0.0553000000
0.0000000000	-0.0555000000
0.1000000000	-0.0555000000
0.1000000000	-0.0555000000
0.1000000000	-0.0554000000
0.1000000000	-0.0554000000
0.1000000000	-0.0554000000
0.1000000000	-0.0554000000
0.1000000000	-0.0554000000
0.1000000000	-0.0554000000
0.1000000000	-0.0555000000
0.0000000000	-0.0555000000
0.1000000000	-0.0555000000
0.1000000000	-0.0558000000
0.1000000000	-0.0562000000
0.1000000000	-0.0565000000
0.1000000000	-0.0566000000
0.1000000000	-0.0569000000
0.2000000000	-0.0573000000
0.2000000000	-0.0575000000
0.2000000000	-0.0577000000
0.2000000000	-0.0579000000
0.2000000000	-0.0581000000
0.2000000000	-0.0582000000
0.2000000000	-0.0582000000
0.2000000000	-0.0582000000
0.2000000000	-0.0581000000
0.2000000000	-0.0581000000
0.2000000000	-0.0581000000
0.2000000000	-0.0581000000
0.2000000000	-0.0581000000
0.2000000000	-0.0581000000
0.2000000000	-0.0581000000
0.2000000000	-0.0582000000
0.2000000000	-0.0582000000
0.2000000000	-0.0582000000
0.2000000000	-0.0584000000
0.2000000000	-0.0591000000
0.2000000000	-0.0593000000
0.2000000000	-0.0596000000
0.2000000000	-0.0598000000
0.2000000000	-0.0600000000
0.1000000000	-0.0605000000
0.1000000000	-0.0608000000
0.1000000000	-0.0611000000
0.1000000000	-0.0613000000
0.1000000000	-0.0613000000
0.1000000000	-0.0613000000
0.1000000000	-0.0613000000
0.1000000000	-0.0613000000
0.1000000000	-0.0613000000
0.1000000000	-0.0613000000
0.1000000000	-0.0613000000
0.1000000000	-0.0613000000
0.1000000000	-0.0613000000
0.1000000000	-0.0613000000
0.1000000000	-0.0613000000
0.1000000000	-0.0613000000
0.1000000000	-0.0613000000
0.1000000000	-0.0615000000
0.1000000000	-0.0621000000
0.1000000000	-0.0623000000
0.1000000000	-0.0627000000
0.1000000000	-0.0629000000
0.1000000000	-0.0630000000
0.1000000000	-0.0634000000
0.1000000000	-0.0637000000
0.2000000000	-0.0640000000
0.2000000000	-0.0643000000
0.2000000000	-0.0643000000
0.2000000000	-0.0643000000
0.2000000000	-0.0643000000
0.2000000000	-0.0643000000
0.2000000000	-0.0643000000
0.2000000000	-0.0643000000
0.2000000000	-0.0643000000
0.2000000000	-0.0643000000
0.2000000000	-0.0643000000
0.2000000000	-0.0643000000
0.2000000000	-0.0643000000
0.2000000000	-0.0643000000
0.2000000000	-0.0643000000
0.2000000000	-0.0643000000
0.2000000000	-0.0644000000
0.2000000000	-0.0651000000
0.3000000000	-0.0652000000
0.2000000000	-0.0653000000
0.2000000000	-0.0657000000
0.3000000000	-0.0660000000
0.3000000000	-0.0663000000
0.3000000000	-0.0666000000
0.3000000000	-0.0668000000
0.3000000000	-0.0670000000
0.3000000000	-0.0673000000
0.3000000000	-0.0673000000
0.3000000000	-0.0673000000
0.3000000000	-0.0672000000
0.3000000000	-0.0672000000
0.3000000000	-0.0672000000
0.3000000000	-0.0672000000
0.3000000000	-0.0672000000
0.3000000000	-0.0672000000
0.3000000000	-0.0672000000
0.3000000000	-0.0672000000
0.3000000000	-0.0672000000
0.3000000000	-0.0673000000
0.3000000000	-0.0673000000
0.3000000000	-0.0673000000
0.3000000000	-0.0677000000
0.2000000000	-0.0680000000
0.2000000000	-0.0681000000
0.2000000000	-0.0685000000
0.2000000000	-0.0687000000
0.1000000000	-0.0693000000
0.1000000000	-0.0696000000
0.1000000000	-0.0696000000
0.1000000000	-0.0698000000
0.1000000000	-0.0698000000
0.1000000000	-0.0698000000
0.1000000000	-0.0698000000
0.1000000000	-0.0698000000
0.1000000000	-0.0698000000
0.1000000000	-0.0698000000
0.1000000000	-0.0698000000
0.1000000000	-0.0698000000
0.1000000000	-0.0698000000
0.1000000000	-0.0698000000
0.1000000000	-0.0698000000
0.1000000000	-0.0698000000
0.1000000000	-0.0698000000
0.1000000000	-0.0698000000
0.1000000000	-0.0699000000
0.1000000000	-0.0706000000
0.1000000000	-0.0708000000
0.1000000000	-0.0711000000
0.2000000000	-0.0713000000
0.2000000000	-0.0715000000
0.2000000000	-0.0717000000
0.2000000000	-0.0717000000
0.2000000000	-0.0720000000
0.3000000000	-0.0724000000
0.5000000000	-0.0726000000
0.5000000000	-0.0730000000
0.5000000000	-0.0731000000
0.5000000000	-0.0731000000
0.5000000000	-0.0731000000
0.5000000000	-0.0731000000
0.5000000000	-0.0731000000
0.5000000000	-0.0731000000
0.5000000000	-0.0731000000
0.5000000000	-0.0731000000
0.5000000000	-0.0731000000
0.5000000000	-0.0731000000
0.5000000000	-0.0731000000
0.5000000000	-0.0731000000
0.5000000000	-0.0731000000
0.5000000000	-0.0731000000
0.5000000000	-0.0733000000
0.6000000000	-0.0736000000
0.6000000000	-0.0737000000
0.6000000000	-0.0740000000
0.6000000000	-0.0741000000
0.5000000000	-0.0746000000
0.6000000000	-0.0752000000
0.5000000000	-0.0756000000
0.4000000000	-0.0758000000
0.4000000000	-0.0760000000
0.4000000000	-0.0761000000
0.4000000000	-0.0762000000
0.4000000000	-0.0762000000
0.4000000000	-0.0762000000
0.4000000000	-0.0762000000
0.4000000000	-0.0762000000
0.4000000000	-0.0762000000
0.4000000000	-0.0762000000
0.4000000000	-0.0762000000
0.4000000000	-0.0762000000
0.4000000000	-0.0762000000
0.4000000000	-0.0762000000
0.4000000000	-0.0762000000
0.4000000000	-0.0762000000
0.4000000000	-0.0763000000
0.3000000000	-0.0766000000
0.2000000000	-0.0769000000
0.2000000000	-0.0769000000
0.2000000000	-0.0772000000
0.1000000000	-0.0779000000
0.1000000000	-0.0784000000
0.2000000000	-0.0787000000
0.3000000000	-0.0790000000
0.3000000000	-0.0791000000
0.3000000000	-0.0792000000
0.3000000000	-0.0793000000
0.3000000000	-0.0793000000
0.3000000000	-0.0793000000
0.3000000000	-0.0793000000
0.3000000000	-0.0793000000
0.3000000000	-0.0793000000
0.3000000000	-0.0793000000
0.3000000000	-0.0793000000
0.3000000000	-0.0793000000
0.3000000000	-0.0793000000
0.3000000000	-0.0793000000
0.3000000000	-0.0793000000
0.3000000000	-0.0793000000
0.3000000000	-0.0793000000
0.5000000000	-0.0798000000
0.8000000000	-0.0801000000
1.0000000000	-0.0803000000
1.0000000000	-0.0805000000
1.0000000000	-0.0808000000
1.6000000000	-0.0811000000
1.9000000000	-0.0813000000
1.7000000000	-0.0817000000
1.8000000000	-0.0821000000
2.1000000000	-0.0823000000
2.1000000000	-0.0826000000
2.1000000000	-0.0827000000
2.1000000000	-0.0826000000
2.1000000000	-0.0826000000
2.1000000000	-0.0826000000
2.0000000000	-0.0826000000
2.1000000000	-0.0826000000
2.1000000000	-0.0826000000
2.1000000000	-0.0826000000
2.1000000000	-0.0826000000
2.1000000000	-0.0826000000
2.1000000000	-0.0826000000
2.1000000000	-0.0826000000
2.1000000000	-0.0826000000
2.0000000000	-0.0827000000
1.9000000000	-0.0829000000
1.8000000000	-0.0833000000
1.8000000000	-0.0833000000
1.7000000000	-0.0836000000
0.9000000000	-0.0841000000
0.8000000000	-0.0842000000
0.8000000000	-0.0845000000
0.7000000000	-0.0847000000
0.7000000000	-0.0849000000
0.5000000000	-0.0850000000
0.5000000000	-0.0850000000
0.4000000000	-0.0851000000
0.2000000000	-0.0854000000
0.2000000000	-0.0854000000
0.2000000000	-0.0854000000
0.2000000000	-0.0854000000
0.2000000000	-0.0854000000
0.2000000000	-0.0854000000
0.2000000000	-0.0854000000
0.2000000000	-0.0854000000
0.2000000000	-0.0854000000
0.2000000000	-0.0854000000
0.2000000000	-0.0854000000
0.2000000000	-0.0854000000
0.2000000000	-0.0855000000
0.9000000000	-0.0861000000
1.5000000000	-0.0864000000
1.7000000000	-0.0866000000
1.7000000000	-0.0867000000
1.7000000000	-0.0867000000
2.1000000000	-0.0871000000
5.4000000000	-0.0874000000
6.5000000000	-0.0878000000
6.3000000000	-0.0881000000
6.3000000000	-0.0881000000
6.3000000000	-0.0881000000
6.3000000000	-0.0881000000
6.3000000000	-0.0881000000
6.3000000000	-0.0881000000
6.3000000000	-0.0881000000
6.3000000000	-0.0881000000
6.3000000000	-0.0881000000
6.3000000000	-0.0881000000
6.3000000000	-0.0881000000
6.3000000000	-0.0881000000
6.3000000000	-0.0881000000
6.3000000000	-0.0881000000
6.3000000000	-0.0881000000
6.3000000000	-0.0881000000
6.7000000000	-0.0882000000
8.2000000000	-0.0884000000
10.5000000000	-0.0886000000
14.1000000000	-0.0889000000
13.6000000000	-0.0893000000
14.1000000000	-0.0894000000
18.3000000000	-0.0897000000
24.3000000000	-0.0900000000
24.6000000000	-0.0901000000
23.9000000000	-0.0902000000
24.0000000000	-0.0902000000
24.0000000000	-0.0902000000
23.9000000000	-0.0902000000
23.7000000000	-0.0902000000
23.8000000000	-0.0902000000
23.7000000000	-0.0902000000
23.7000000000	-0.0902000000
23.8000000000	-0.0902000000
23.9000000000	-0.0902000000
24.0000000000	-0.0902000000
23.9000000000	-0.0902000000
23.8000000000	-0.0902000000
23.7000000000	-0.0902000000
23.3000000000	-0.0903000000
21.9000000000	-0.0906000000
29.1000000000	-0.0910000000
30.9000000000	-0.0910000000
32.7000000000	-0.0911000000
33.2000000000	-0.0912000000
30.8000000000	-0.0914000000
28.1000000000	-0.0919000000
32.6000000000	-0.0921000000
36.6000000000	-0.0923000000
38.2000000000	-0.0924000000
38.4000000000	-0.0924000000
38.5000000000	-0.0923000000
38.6000000000	-0.0923000000
38.6000000000	-0.0923000000
38.4000000000	-0.0923000000
38.4000000000	-0.0923000000
38.5000000000	-0.0923000000
38.4000000000	-0.0923000000
38.3000000000	-0.0923000000
38.3000000000	-0.0923000000
38.4000000000	-0.0923000000
38.4000000000	-0.0923000000
38.5000000000	-0.0924000000
30.2000000000	-0.0930000000
30.1000000000	-0.0931000000
31.0000000000	-0.0932000000
36.1000000000	-0.0935000000
38.3000000000	-0.0936000000
38.4000000000	-0.0938000000
