Relative Intensity Antonio_0.02_1.5_lampadina_2	Position (m) Antonio_0.02_1.5_lampadina_2
0.563736	-0.07886055
0.5655823	-0.07893945
0.5690002	-0.07919588
0.5717621	-0.0793734
0.5725708	-0.0793734
0.5743408	-0.07939313
0.5774841	-0.07966928
0.5840759	-0.07982708
0.5858612	-0.0798468
0.5864258	-0.07986653
0.5863495	-0.07988625
0.5881805	-0.0799257
0.5921783	-0.08004405
0.5948181	-0.08020185
0.6001892	-0.08037938
0.6014099	-0.0803991
0.6014862	-0.08041883
0.6040344	-0.08057662
0.6167297	-0.0810303
0.629303	-0.08124727
0.6333008	-0.081267
0.6338959	-0.081267
0.6346588	-0.081267
0.6343536	-0.08128672
0.6379242	-0.08138535
0.6385956	-0.08140507
0.6433258	-0.08154315
0.6644745	-0.08199682
0.6753387	-0.08219407
0.6748657	-0.08219407
0.6749878	-0.08219407
0.6743469	-0.08219407
0.674469	-0.08219407
0.6747742	-0.08219407
0.6750031	-0.08219407
0.6753082	-0.08219407
0.6763763	-0.08219407
0.6754913	-0.08219407
0.6752625	-0.08219407
0.6752472	-0.08219407
0.6755524	-0.08219407
0.6752319	-0.08219407
0.6745758	-0.08219407
0.6749725	-0.08219407
0.6760101	-0.08219407
0.6784821	-0.08227297
0.6907043	-0.08256885
0.7144623	-0.08302253
0.722229	-0.0830817
0.7241058	-0.08314087
0.7327423	-0.0832395
0.7476349	-0.0834762
0.7767792	-0.08398905
0.8017883	-0.08446245
0.818924	-0.08477805
0.8229218	-0.08483722
0.827179	-0.08493585
0.8399658	-0.08517255
0.8538208	-0.08538952
0.8609619	-0.08546842
0.8617859	-0.08550787
0.8682251	-0.0856065
0.8772583	-0.08582347
0.8892059	-0.08606018
0.9051971	-0.0863166
0.9156189	-0.08651385
0.9354706	-0.08682945
0.9523621	-0.08700697
0.956543	-0.08712533
0.958313	-0.08714505
0.9632874	-0.0872634
0.9732208	-0.08740147
0.9788971	-0.08748038
0.9857941	-0.08763818
0.9971619	-0.0878946
1.0102692	-0.08807213
1.0117645	-0.0881313
1.0130157	-0.08817075
1.0174713	-0.08826938
1.016861	-0.0882891
1.019577	-0.08834827
1.0215454	-0.088368
1.022644	-0.08840745
1.025238	-0.0884469
1.0233612	-0.0884469
1.0222321	-0.0884469
1.0213013	-0.08842717
1.0195618	-0.088368
1.0196533	-0.088368
1.0202789	-0.088368
1.02005	-0.088368
1.0205383	-0.088368
1.0206299	-0.088368
1.0190735	-0.088368
1.0183563	-0.088368
1.0184937	-0.088368
1.0179291	-0.088368
1.0187378	-0.08838772
1.018158	-0.08838772
1.0182495	-0.08838772
1.0171967	-0.08838772
1.0189362	-0.0884469
1.0229034	-0.08850607
1.0205688	-0.08850607
1.0222168	-0.08850607
1.0240326	-0.08854552
1.0382538	-0.0890781
1.0747528	-0.08982765
1.0852814	-0.08996572
1.0841064	-0.08998545
1.0838013	-0.09000517
1.0869751	-0.09012352
1.0894012	-0.0901827
1.0945587	-0.0903405
1.0989075	-0.09059692
1.1043701	-0.09091252
1.1157837	-0.09122812
1.1132812	-0.09132675
1.1123962	-0.09142537
1.1165009	-0.09162262
1.1262054	-0.0919974
1.1363831	-0.09241162
1.1382751	-0.09268777
1.1411896	-0.09284557
1.1405182	-0.09300337
1.1383057	-0.09306255
