Light Intensity (% of scale max) Antonio_0.04_1.5_lampadina	Position (m) Antonio_0.04_1.5_lampadina
2.13229	-0.088329
2.13611	-0.088329
2.13293	-0.088329
2.12544	-0.088329
2.13197	-0.088329
2.13486	-0.088329
2.13225	-0.088329
2.13048	-0.088329
2.12846	-0.088329
2.12718	-0.088329
2.12408	-0.088329
2.12851	-0.088329
2.13231	-0.088309
2.13127	-0.088309
2.13066	-0.088309
2.13618	-0.088309
2.13869	-0.088329
2.13925	-0.088329
2.14125	-0.088329
2.14282	-0.088329
2.17535	-0.088407
2.31682	-0.088743
2.70055	-0.089453
2.7831	-0.089551
2.80261	-0.089591
2.93518	-0.089788
3.11002	-0.090124
3.25563	-0.090459
3.35489	-0.090715
3.49918	-0.091031
3.53575	-0.091129
3.5899	-0.091208
3.68333	-0.091425
3.77795	-0.091702
3.91547	-0.092175
4.01901	-0.09253
4.07439	-0.092668
4.12335	-0.092905
4.1329	-0.092944
4.14549	-0.093023
4.1767	-0.09328
4.20169	-0.093358
4.2318	-0.093556
4.25627	-0.093911
4.26901	-0.094069
4.28413	-0.094285
4.29646	-0.094345
4.2968	-0.094345
4.29683	-0.094345
4.29843	-0.094325
4.30069	-0.094325
4.2991	-0.094325
4.30019	-0.094325
4.29556	-0.094325
4.29823	-0.094325
4.30046	-0.094325
4.3017	-0.094325
4.29813	-0.094325
4.29967	-0.094325
4.30249	-0.094325
4.30095	-0.094325
4.29916	-0.094325
4.29941	-0.094345
4.29506	-0.094345
4.29488	-0.094345
4.30157	-0.094522
4.30963	-0.094779
4.30762	-0.094779
4.30846	-0.094838
4.3112	-0.094917
4.30792	-0.095015
4.30984	-0.095055
4.30118	-0.095173
4.26077	-0.095666
4.20641	-0.095883
4.16605	-0.096002
4.10396	-0.096278
4.09641	-0.096317
4.04163	-0.096554
3.91095	-0.097067
3.84221	-0.097225
3.79683	-0.097382
3.72368	-0.097639
3.68285	-0.097757
3.65099	-0.097875
3.55875	-0.098073
3.53572	-0.098152
3.4967	-0.09825
3.39159	-0.098546
3.36259	-0.098645
3.27412	-0.09896
3.03168	-0.099414
2.93831	-0.099651
2.8298	-0.099927
2.74286	-0.100183
2.67081	-0.100361
2.6496	-0.10042
2.61969	-0.100459
2.62308	-0.100459
2.6266	-0.10044
2.62756	-0.10044
2.62946	-0.10044
2.62561	-0.10044
2.62872	-0.10044
2.62906	-0.10044
2.62801	-0.10044
2.62991	-0.10044
2.62843	-0.10044
2.62766	-0.10044
2.62589	-0.10044
2.62527	-0.10044
2.62035	-0.10044
2.61615	-0.10044
2.61864	-0.10044
2.61516	-0.100459
2.57965	-0.100538
2.37637	-0.101071
2.22267	-0.101465
2.18811	-0.101544
2.05678	-0.102097
1.78091	-0.102669
1.75482	-0.102748
1.63889	-0.103103
1.59593	-0.103241
1.56519	-0.103359
1.46307	-0.103714
1.39571	-0.103911
1.28484	-0.104187
1.21422	-0.104464
1.15991	-0.104681
1.09207	-0.104937
1.00751	-0.105272
0.96191	-0.10543
0.9144	-0.105647
0.85846	-0.105864
0.80634	-0.10612
0.72253	-0.106357
0.67648	-0.106535
0.61342	-0.106811
0.5414	-0.107146
0.46088	-0.107501
0.4259	-0.107679
0.42386	-0.107679
0.42328	-0.107679
0.42377	-0.107679
0.42393	-0.107659
0.42412	-0.107659
0.4238	-0.107659
0.42506	-0.107659
0.42497	-0.107659
0.427	-0.107659
0.42587	-0.107659
0.42567	-0.107659
0.42409	-0.107659
0.42468	-0.107659
0.42351	-0.107659
0.42262	-0.107659
0.42316	-0.107659
0.42297	-0.107659
0.42389	-0.107659
0.42345	-0.107659
0.42293	-0.107659
0.42377	-0.107659
0.42361	-0.107659
0.4241	-0.107659
0.42554	-0.107659
0.42412	-0.107659
0.42336	-0.107659
0.4248	-0.107659
0.42253	-0.107659
0.42337	-0.107679
0.42357	-0.107679
0.41083	-0.107758
0.31407	-0.108271
0.25157	-0.108606
0.21898	-0.108823
0.1761	-0.109079
0.16261	-0.109138
0.153	-0.109237
0.1198	-0.109553
0.09024	-0.109849
0.0777	-0.110006
0.0632	-0.110263
0.05484	-0.110401
0.05075	-0.110559
0.04388	-0.110854
0.0412	-0.111071
0.04272	-0.111328
0.04369	-0.111525
0.04675	-0.111703
0.0489	-0.111782
0.05576	-0.112117
0.06061	-0.112255
0.06847	-0.112571
0.07887	-0.112847
0.08597	-0.113044
0.09235	-0.113202
0.09869	-0.113379
0.1098	-0.113734
0.12071	-0.113971
0.1273	-0.114149
0.13857	-0.114444
0.15672	-0.114938
0.16653	-0.115076
0.17093	-0.115174
0.18077	-0.115431
0.20003	-0.115845
0.22107	-0.116121
0.25459	-0.116654
0.27838	-0.117166
0.28572	-0.117383
0.29916	-0.11762
0.3127	-0.118034
0.3159	-0.118449
0.31302	-0.118744
0.29541	-0.119139
0.27606	-0.119494
0.24931	-0.119849
0.22014	-0.120224
0.20108	-0.120441
0.18707	-0.120678
0.15845	-0.121111
0.14098	-0.121407
0.12563	-0.121703
0.1214	-0.121841
0.10698	-0.122295
0.09657	-0.122591
0.0918	-0.12267
0.08978	-0.122689
0.08635	-0.122828
0.08452	-0.122867
0.08461	-0.122847
0.08463	-0.122828
0.08466	-0.122828
0.08434	-0.122828
0.08447	-0.122828
0.08441	-0.122828
0.0845	-0.122828
0.08434	-0.122828
