Relative Intensity Alessio_0.02_1.0_candela	Position (m) Alessio_0.02_1.0_candela
0.020874	-0.05536808
0.0205231	-0.0553878
0.0200958	-0.0553878
0.0203705	-0.0553878
0.0207062	-0.0553089
0.0211029	-0.0553089
0.0214386	-0.0553089
0.0210419	-0.0553089
0.0207214	-0.0553089
0.02005	-0.0553089
0.0204773	-0.0553878
0.0210266	-0.0553878
0.0214386	-0.0553878
0.0218964	-0.0553878
0.0216675	-0.05566395
0.0217285	-0.0560979
0.0215302	-0.0561768
0.0216522	-0.05639378
0.0225525	-0.05659103
0.0227661	-0.0566502
0.0234833	-0.05716305
0.0227356	-0.0576759
0.0212097	-0.05816903
0.019928	-0.05840573
0.0198212	-0.05848463
0.0190735	-0.0587805
0.0193787	-0.0588594
0.0198059	-0.0588594
0.0197449	-0.0588594
0.0192108	-0.0588594
0.018631	-0.05881995
0.0182495	-0.05880023
0.0188446	-0.05880023
0.019104	-0.05880023
0.0195007	-0.05880023
0.0197601	-0.05880023
0.0192871	-0.05880023
0.0186768	-0.0588594
0.0183868	-0.0588594
0.0185242	-0.0588594
0.0177612	-0.05913555
0.0166168	-0.0595695
0.0166931	-0.05976675
0.0165558	-0.05978648
0.0158539	-0.05984565
0.0145874	-0.0602007
0.0134888	-0.06057548
0.0133057	-0.06079245
0.0126343	-0.06126585
0.0128174	-0.06158145
0.013031	-0.06175898
0.0123749	-0.06197595
0.0119476	-0.06197595
0.0115814	-0.06197595
0.0114288	-0.06197595
0.011673	-0.06197595
0.0119476	-0.06197595
0.0123749	-0.06195623
0.012619	-0.06195623
0.012146	-0.06195623
0.0117493	-0.06195623
0.0113525	-0.06195623
0.0112	-0.06197595
0.0114594	-0.06197595
0.0118256	-0.06197595
0.0122833	-0.06197595
0.0126953	-0.06197595
0.0122681	-0.06205485
0.0114746	-0.06242963
0.0108032	-0.06286358
0.0105438	-0.06308055
0.0105896	-0.06337643
0.010788	-0.0635145
0.0112	-0.06384983
0.0112457	-0.0643035
0.010788	-0.06442185
0.0104675	-0.06467828
0.0102844	-0.06483608
0.0102081	-0.06489525
0.0109253	-0.06519113
0.0113068	-0.0653292
0.0119629	-0.06534893
0.0119171	-0.0653292
0.0115204	-0.0653292
0.0111389	-0.0653292
0.0108337	-0.0653292
0.0107269	-0.0653292
0.0112152	-0.0653292
0.0113678	-0.0653292
0.012085	-0.0653292
0.0119171	-0.0653292
0.0115051	-0.0653292
0.0111389	-0.0653292
0.0108337	-0.0653292
0.0107574	-0.06534893
0.0120239	-0.06570398
0.01297	-0.06621683
0.0138245	-0.06629573
0.0143433	-0.06669023
0.0146484	-0.06700583
0.014389	-0.06708473
0.0149384	-0.0674595
0.0158081	-0.0676173
0.0170441	-0.06783428
0.0181732	-0.06811043
0.0187531	-0.0681696
0.0189056	-0.06834713
0.0183868	-0.06834713
0.0179749	-0.06834713
0.017868	-0.06834713
0.0184326	-0.06834713
0.018692	-0.06834713
0.0192261	-0.06834713
0.019165	-0.06834713
0.0185699	-0.06834713
0.0180206	-0.06834713
0.0176392	-0.06834713
0.0179901	-0.06834713
0.0184631	-0.06834713
0.0189056	-0.06834713
0.0191803	-0.06834713
0.0187378	-0.06834713
0.0184021	-0.06844575
0.0191345	-0.06889943
0.0201569	-0.06915585
0.0213013	-0.0691953
0.0226746	-0.0695109
0.0237427	-0.0696687
0.0237579	-0.06972788
0.0242004	-0.0699843
0.0248871	-0.0702999
0.026001	-0.07043798
0.0281372	-0.0706155
0.0300751	-0.0708522
0.0314484	-0.07101
0.0322876	-0.07122698
0.0325775	-0.07130588
0.0324097	-0.0713256
0.0331573	-0.0713256
0.0338593	-0.0713256
0.0340271	-0.0713256
0.033371	-0.0713256
0.0327606	-0.07130588
0.0323486	-0.07130588
0.0329437	-0.07130588
0.0335693	-0.07130588
0.0340424	-0.07130588
0.0335236	-0.07130588
0.0329285	-0.0713256
0.0326233	-0.0713256
0.0358276	-0.0715623
0.0381317	-0.07181873
0.038559	-0.07183845
0.0387878	-0.07197653
0.0414276	-0.07231185
0.0443878	-0.07252883
0.0488281	-0.07270635
0.0545959	-0.07308113
0.0591278	-0.07339673
0.0619049	-0.0736137
0.06427	-0.07381095
0.0705719	-0.07396875
0.0756531	-0.07418573
0.0765381	-0.07420545
0.0783844	-0.07434353
0.0805664	-0.0744027
0.0816345	-0.0744027
0.0820618	-0.07438298
0.0811615	-0.07438298
0.080658	-0.07438298
0.0806885	-0.07438298
0.0812836	-0.07438298
0.0810699	-0.07438298
0.0793762	-0.07438298
0.0790253	-0.07438298
0.0805817	-0.07438298
0.0814056	-0.0744027
0.0820007	-0.0744816
0.094574	-0.07517198
0.105423	-0.07540868
0.1125336	-0.07556648
0.1218719	-0.07586235
0.1248779	-0.07600043
0.1347656	-0.07631603
0.1431122	-0.07639493
0.15448	-0.07667108
0.1698151	-0.07714448
0.1717377	-0.07722338
0.178009	-0.07726283
0.1833191	-0.07734173
0.1820526	-0.07734173
0.1786804	-0.07734173
0.1804047	-0.07734173
0.1818085	-0.07734173
0.1817627	-0.07734173
0.1800385	-0.07734173
0.181839	-0.07734173
0.1838074	-0.07734173
0.1824493	-0.07734173
0.1814575	-0.07734173
0.1820679	-0.07734173
0.1830292	-0.07734173
0.1823883	-0.07738118
0.1897125	-0.0779532
0.2013397	-0.07836743
0.2088623	-0.0784266
0.2147217	-0.07852523
0.2170258	-0.07876193
0.2232819	-0.07909725
0.2272034	-0.07927478
0.2325592	-0.0795312
0.2344513	-0.07978763
0.2355347	-0.0800046
0.2418365	-0.08035965
0.2480011	-0.08037938
0.2497711	-0.08041883
0.2485962	-0.08041883
0.2477417	-0.0803991
0.2510071	-0.0803991
0.2505493	-0.0803991
0.2519226	-0.0803991
0.2528992	-0.0803991
0.253479	-0.0803991
0.2504425	-0.0803991
0.2499847	-0.0803991
0.2572937	-0.0803991
0.2597351	-0.0803991
0.2564392	-0.0803991
0.2546234	-0.08051745
0.2582092	-0.0808725
0.2621155	-0.08116838
0.2618256	-0.08132618
0.2693024	-0.08162205
0.2714844	-0.08203628
0.273407	-0.0823716
0.2831573	-0.08278583
0.2876587	-0.0829239
0.2886353	-0.08314088
0.2909698	-0.08325923
0.293335	-0.08329868
0.2928925	-0.08357483
0.2950439	-0.08373263
0.2998657	-0.08375235
0.3012695	-0.08375235
0.300827	-0.08373263
0.3036957	-0.08373263
0.3059387	-0.08373263
0.3023071	-0.08373263
0.3033752	-0.08373263
0.3078308	-0.08373263
0.3058167	-0.08373263
0.3034668	-0.08373263
0.3046875	-0.08373263
0.3068848	-0.08373263
0.3066559	-0.08373263
0.3037567	-0.08373263
0.3049927	-0.0839496
0.3123016	-0.08495558
0.3199158	-0.0852909
