Light Intensity (% of scale max) Alessio_0.02_1.5_lampadina_old	Position (m) Alessio_0.02_1.5_lampadina_old
0.18036	-0.150462
0.18028	-0.150462
0.18027	-0.150462
0.18005	-0.150443
0.18044	-0.150443
0.18047	-0.150443
0.18025	-0.150443
0.18057	-0.150443
0.1805	-0.150443
0.18028	-0.150462
0.18053	-0.150462
0.18053	-0.150521
0.18074	-0.151113
0.17935	-0.152021
0.17824	-0.152218
0.17577	-0.152612
0.17383	-0.152869
0.1713	-0.153421
0.16942	-0.154427
0.1694	-0.154644
0.16942	-0.154644
0.16937	-0.154664
0.16898	-0.154644
0.16948	-0.154644
0.1692	-0.154644
0.16975	-0.154644
0.16922	-0.154644
0.16893	-0.154644
0.16953	-0.154644
0.16914	-0.154644
0.16878	-0.154664
0.16908	-0.154664
0.16876	-0.15496
0.16736	-0.155532
0.16628	-0.155749
0.16629	-0.155808
0.16559	-0.156261
0.16455	-0.156952
0.16426	-0.157307
0.16447	-0.157958
0.16371	-0.158352
0.16412	-0.158372
0.16417	-0.158451
0.1638	-0.158451
0.16399	-0.158451
0.16437	-0.158431
0.16405	-0.158431
0.16429	-0.158431
0.16348	-0.158431
0.16425	-0.158431
0.16399	-0.158431
0.16396	-0.158451
0.16382	-0.158451
0.16389	-0.158451
0.16388	-0.158707
0.16408	-0.159615
0.16418	-0.15995
0.16449	-0.160108
0.16461	-0.160345
0.16547	-0.160857
0.16624	-0.161489
0.16739	-0.162001
0.16772	-0.162317
0.16788	-0.162534
0.16792	-0.162692
0.16797	-0.16279
0.16769	-0.163145
0.16826	-0.163422
0.16832	-0.163422
0.1682	-0.163422
0.16869	-0.163422
0.16841	-0.163422
0.16843	-0.163422
0.16853	-0.163422
0.16873	-0.163422
0.16803	-0.163422
0.16811	-0.163501
0.16913	-0.163895
0.17107	-0.164368
0.17268	-0.16496
0.1725	-0.165355
0.17177	-0.165572
0.17174	-0.165868
0.17133	-0.166262
0.17369	-0.167051
0.17479	-0.167288
0.17474	-0.167307
0.1752	-0.167307
0.17497	-0.167307
0.17517	-0.167307
0.17537	-0.167288
0.17503	-0.167288
0.17534	-0.167288
0.17514	-0.167288
0.17531	-0.167288
