Light Intensity (% of scale max) Antonio_0.02_1.5_lampadina	Position (m) Antonio_0.02_1.5_lampadina
0.5000000000	-0.0791000000
0.5000000000	-0.0791000000
0.5000000000	-0.0791000000
0.5000000000	-0.0794000000
0.5000000000	-0.0794000000
0.5000000000	-0.0795000000
0.6000000000	-0.0796000000
0.6000000000	-0.0797000000
0.6000000000	-0.0799000000
0.6000000000	-0.0803000000
0.6000000000	-0.0806000000
0.6000000000	-0.0806000000
0.6000000000	-0.0806000000
0.6000000000	-0.0806000000
0.6000000000	-0.0806000000
0.6000000000	-0.0806000000
0.6000000000	-0.0806000000
0.6000000000	-0.0806000000
0.6000000000	-0.0806000000
0.6000000000	-0.0806000000
0.6000000000	-0.0806000000
0.6000000000	-0.0806000000
0.6000000000	-0.0806000000
0.6000000000	-0.0806000000
0.6000000000	-0.0806000000
0.6000000000	-0.0806000000
0.6000000000	-0.0806000000
0.6000000000	-0.0806000000
0.6000000000	-0.0806000000
0.6000000000	-0.0806000000
0.6000000000	-0.0806000000
0.7000000000	-0.0812000000
0.7000000000	-0.0817000000
0.7000000000	-0.0820000000
0.7000000000	-0.0827000000
0.7000000000	-0.0830000000
0.8000000000	-0.0833000000
0.8000000000	-0.0836000000
0.8000000000	-0.0839000000
0.8000000000	-0.0841000000
0.8000000000	-0.0843000000
0.8000000000	-0.0847000000
0.8000000000	-0.0850000000
0.8000000000	-0.0850000000
0.8000000000	-0.0851000000
0.8000000000	-0.0852000000
0.8000000000	-0.0853000000
0.8000000000	-0.0858000000
0.8000000000	-0.0860000000
0.8000000000	-0.0860000000
0.8000000000	-0.0862000000
0.8000000000	-0.0863000000
0.8000000000	-0.0863000000
0.8000000000	-0.0865000000
0.9000000000	-0.0869000000
0.9000000000	-0.0869000000
0.9000000000	-0.0869000000
0.9000000000	-0.0871000000
0.9000000000	-0.0872000000
0.9000000000	-0.0872000000
0.9000000000	-0.0872000000
0.9000000000	-0.0872000000
0.9000000000	-0.0872000000
0.9000000000	-0.0872000000
0.9000000000	-0.0872000000
0.9000000000	-0.0872000000
0.9000000000	-0.0872000000
0.9000000000	-0.0872000000
0.9000000000	-0.0872000000
0.9000000000	-0.0872000000
0.9000000000	-0.0872000000
0.9000000000	-0.0872000000
0.9000000000	-0.0872000000
0.9000000000	-0.0872000000
0.9000000000	-0.0872000000
0.9000000000	-0.0872000000
0.9000000000	-0.0873000000
0.9000000000	-0.0875000000
0.9000000000	-0.0882000000
0.9000000000	-0.0882000000
0.9000000000	-0.0887000000
0.9000000000	-0.0891000000
0.9000000000	-0.0894000000
0.9000000000	-0.0894000000
0.9000000000	-0.0895000000
1.0000000000	-0.0899000000
1.0000000000	-0.0902000000
1.0000000000	-0.0902000000
1.0000000000	-0.0903000000
1.0000000000	-0.0903000000
1.0000000000	-0.0904000000
1.0000000000	-0.0906000000
1.0000000000	-0.0907000000
1.0000000000	-0.0911000000
1.0000000000	-0.0911000000
1.0000000000	-0.0912000000
1.0000000000	-0.0915000000
1.0000000000	-0.0918000000
1.0000000000	-0.0919000000
1.0000000000	-0.0920000000
1.0000000000	-0.0921000000
1.0000000000	-0.0927000000
1.0000000000	-0.0929000000
1.0000000000	-0.0929000000
1.0000000000	-0.0930000000
1.1000000000	-0.0930000000
1.1000000000	-0.0930000000
1.1000000000	-0.0930000000
1.1000000000	-0.0930000000
1.1000000000	-0.0930000000
1.1000000000	-0.0930000000
1.1000000000	-0.0930000000
1.1000000000	-0.0930000000
1.1000000000	-0.0930000000
1.1000000000	-0.0930000000
1.1000000000	-0.0930000000
1.1000000000	-0.0930000000
1.1000000000	-0.0930000000
1.1000000000	-0.0930000000
1.1000000000	-0.0930000000
1.1000000000	-0.0930000000
1.1000000000	-0.0930000000
1.1000000000	-0.0930000000
