Light Intensity (% of scale max) Alessandra_0.16_1.5_lampadina	Position (m) Alessandra_0.16_1.5_lampadina
0.1000000000	-0.0736000000
0.1000000000	-0.0737000000
0.1000000000	-0.0738000000
0.1000000000	-0.0739000000
0.1000000000	-0.0741000000
0.1000000000	-0.0742000000
0.1000000000	-0.0745000000
0.1000000000	-0.0748000000
0.1000000000	-0.0751000000
0.1000000000	-0.0753000000
0.1000000000	-0.0756000000
0.1000000000	-0.0757000000
0.1000000000	-0.0757000000
0.1000000000	-0.0757000000
0.1000000000	-0.0757000000
0.1000000000	-0.0757000000
0.1000000000	-0.0757000000
0.1000000000	-0.0757000000
0.1000000000	-0.0757000000
0.1000000000	-0.0757000000
0.1000000000	-0.0757000000
0.1000000000	-0.0757000000
0.1000000000	-0.0757000000
0.1000000000	-0.0757000000
0.1000000000	-0.0757000000
0.1000000000	-0.0757000000
0.1000000000	-0.0757000000
0.1000000000	-0.0757000000
0.1000000000	-0.0757000000
0.1000000000	-0.0757000000
0.1000000000	-0.0757000000
0.1000000000	-0.0757000000
0.1000000000	-0.0757000000
0.1000000000	-0.0757000000
0.1000000000	-0.0757000000
0.1000000000	-0.0757000000
0.1000000000	-0.0757000000
0.1000000000	-0.0757000000
0.1000000000	-0.0758000000
0.1000000000	-0.0760000000
0.1000000000	-0.0761000000
0.1000000000	-0.0762000000
0.1000000000	-0.0762000000
0.1000000000	-0.0763000000
0.1000000000	-0.0764000000
0.1000000000	-0.0765000000
0.1000000000	-0.0765000000
0.1000000000	-0.0765000000
0.1000000000	-0.0765000000
0.1000000000	-0.0765000000
0.1000000000	-0.0765000000
0.1000000000	-0.0765000000
0.1000000000	-0.0768000000
0.1000000000	-0.0769000000
0.1000000000	-0.0770000000
0.1000000000	-0.0771000000
0.1000000000	-0.0774000000
0.1000000000	-0.0777000000
0.1000000000	-0.0778000000
0.1000000000	-0.0780000000
0.2000000000	-0.0783000000
0.2000000000	-0.0786000000
0.2000000000	-0.0788000000
0.2000000000	-0.0790000000
0.2000000000	-0.0792000000
0.2000000000	-0.0794000000
0.1000000000	-0.0796000000
0.1000000000	-0.0796000000
0.1000000000	-0.0797000000
0.1000000000	-0.0797000000
0.1000000000	-0.0798000000
0.1000000000	-0.0800000000
0.1000000000	-0.0801000000
0.1000000000	-0.0802000000
0.1000000000	-0.0803000000
0.1000000000	-0.0805000000
0.1000000000	-0.0806000000
0.1000000000	-0.0808000000
0.1000000000	-0.0810000000
0.1000000000	-0.0811000000
0.1000000000	-0.0811000000
0.1000000000	-0.0812000000
0.1000000000	-0.0813000000
0.1000000000	-0.0813000000
0.1000000000	-0.0813000000
0.2000000000	-0.0814000000
0.2000000000	-0.0815000000
0.2000000000	-0.0817000000
0.3000000000	-0.0818000000
0.3000000000	-0.0819000000
0.3000000000	-0.0821000000
0.3000000000	-0.0822000000
0.3000000000	-0.0824000000
0.3000000000	-0.0826000000
0.3000000000	-0.0827000000
0.3000000000	-0.0828000000
0.3000000000	-0.0829000000
0.3000000000	-0.0830000000
0.3000000000	-0.0830000000
0.3000000000	-0.0830000000
0.3000000000	-0.0832000000
0.2000000000	-0.0832000000
0.2000000000	-0.0833000000
0.2000000000	-0.0834000000
0.2000000000	-0.0834000000
0.2000000000	-0.0834000000
0.2000000000	-0.0834000000
0.2000000000	-0.0834000000
0.2000000000	-0.0834000000
0.2000000000	-0.0834000000
0.2000000000	-0.0834000000
0.2000000000	-0.0834000000
0.2000000000	-0.0834000000
0.2000000000	-0.0834000000
0.2000000000	-0.0834000000
0.2000000000	-0.0834000000
0.2000000000	-0.0834000000
0.2000000000	-0.0834000000
0.2000000000	-0.0834000000
0.2000000000	-0.0834000000
0.2000000000	-0.0834000000
0.2000000000	-0.0834000000
0.2000000000	-0.0834000000
0.2000000000	-0.0836000000
0.1000000000	-0.0838000000
0.1000000000	-0.0839000000
0.1000000000	-0.0840000000
0.1000000000	-0.0841000000
0.1000000000	-0.0843000000
0.1000000000	-0.0846000000
0.1000000000	-0.0848000000
0.2000000000	-0.0850000000
0.2000000000	-0.0851000000
0.2000000000	-0.0853000000
0.3000000000	-0.0855000000
0.4000000000	-0.0858000000
0.5000000000	-0.0859000000
0.5000000000	-0.0860000000
0.6000000000	-0.0862000000
0.6000000000	-0.0864000000
0.6000000000	-0.0865000000
0.6000000000	-0.0866000000
0.6000000000	-0.0867000000
0.6000000000	-0.0868000000
0.5000000000	-0.0869000000
0.5000000000	-0.0871000000
0.4000000000	-0.0873000000
0.3000000000	-0.0874000000
0.2000000000	-0.0877000000
0.2000000000	-0.0879000000
0.1000000000	-0.0881000000
0.1000000000	-0.0883000000
0.1000000000	-0.0884000000
0.1000000000	-0.0885000000
0.2000000000	-0.0885000000
0.2000000000	-0.0886000000
0.3000000000	-0.0889000000
0.5000000000	-0.0891000000
0.7000000000	-0.0892000000
0.9000000000	-0.0895000000
1.2000000000	-0.0898000000
1.5000000000	-0.0900000000
1.6000000000	-0.0901000000
1.7000000000	-0.0902000000
1.7000000000	-0.0903000000
1.7000000000	-0.0904000000
1.7000000000	-0.0904000000
1.7000000000	-0.0904000000
1.7000000000	-0.0904000000
1.6000000000	-0.0903000000
1.6000000000	-0.0903000000
1.6000000000	-0.0903000000
1.6000000000	-0.0903000000
1.6000000000	-0.0903000000
1.6000000000	-0.0903000000
1.6000000000	-0.0903000000
1.6000000000	-0.0903000000
1.6000000000	-0.0903000000
1.6000000000	-0.0903000000
1.6000000000	-0.0903000000
1.6000000000	-0.0903000000
1.6000000000	-0.0903000000
1.6000000000	-0.0903000000
1.6000000000	-0.0903000000
1.6000000000	-0.0903000000
1.6000000000	-0.0903000000
1.7000000000	-0.0904000000
1.7000000000	-0.0904000000
1.6000000000	-0.0906000000
1.5000000000	-0.0909000000
1.3000000000	-0.0911000000
1.1000000000	-0.0913000000
0.9000000000	-0.0915000000
0.6000000000	-0.0917000000
0.4000000000	-0.0919000000
0.4000000000	-0.0921000000
0.4000000000	-0.0923000000
0.9000000000	-0.0925000000
1.6000000000	-0.0927000000
2.7000000000	-0.0930000000
4.4000000000	-0.0932000000
8.4000000000	-0.0937000000
13.0000000000	-0.0940000000
18.8000000000	-0.0943000000
21.9000000000	-0.0945000000
22.9000000000	-0.0946000000
24.0000000000	-0.0947000000
25.5000000000	-0.0948000000
25.8000000000	-0.0948000000
26.2000000000	-0.0948000000
27.0000000000	-0.0949000000
28.2000000000	-0.0950000000
29.4000000000	-0.0951000000
31.3000000000	-0.0952000000
35.2000000000	-0.0954000000
37.4000000000	-0.0956000000
38.6000000000	-0.0958000000
39.6000000000	-0.0960000000
40.9000000000	-0.0962000000
41.0000000000	-0.0965000000
40.5000000000	-0.0966000000
37.6000000000	-0.0968000000
35.6000000000	-0.0970000000
34.9000000000	-0.0970000000
34.3000000000	-0.0970000000
33.6000000000	-0.0970000000
33.0000000000	-0.0970000000
33.1000000000	-0.0970000000
33.0000000000	-0.0970000000
33.1000000000	-0.0970000000
33.0000000000	-0.0970000000
33.1000000000	-0.0970000000
33.1000000000	-0.0970000000
33.2000000000	-0.0970000000
33.3000000000	-0.0970000000
33.3000000000	-0.0970000000
33.2000000000	-0.0970000000
33.1000000000	-0.0970000000
33.3000000000	-0.0970000000
33.1000000000	-0.0970000000
33.1000000000	-0.0970000000
33.3000000000	-0.0970000000
33.3000000000	-0.0970000000
33.5000000000	-0.0970000000
34.0000000000	-0.0970000000
34.7000000000	-0.0970000000
34.8000000000	-0.0970000000
34.9000000000	-0.0970000000
34.8000000000	-0.0970000000
32.9000000000	-0.0972000000
30.5000000000	-0.0974000000
27.6000000000	-0.0976000000
23.5000000000	-0.0979000000
