Light Intensity (% of scale max) Alessandra_0.02_1.5_lampadina_old	Position (m) Alessandra_0.02_1.5_lampadina_old
0.44215	-0.07673
0.44185	-0.07673
0.44199	-0.07675
0.44365	-0.076789
0.44287	-0.076809
0.44739	-0.077046
0.45145	-0.077223
0.45348	-0.077223
0.45395	-0.077263
0.47728	-0.078032
0.52362	-0.079196
0.58136	-0.080261
0.63206	-0.080813
0.65186	-0.081109
0.67337	-0.081504
0.70787	-0.082017
0.77434	-0.082924
0.86032	-0.084048
0.95096	-0.085153
1.04065	-0.086415
1.11154	-0.087283
1.13478	-0.087717
1.18196	-0.08823
1.1825	-0.088309
1.1824	-0.088329
1.18918	-0.088467
1.21213	-0.088901
1.23712	-0.089453
1.24579	-0.08967
1.25075	-0.089788
1.2565	-0.089946
1.25932	-0.090005
1.25995	-0.090025
1.2594	-0.090045
1.25984	-0.090064
1.26068	-0.090084
1.26137	-0.090104
1.26277	-0.090163
1.26283	-0.090163
1.26407	-0.090163
1.26532	-0.090163
1.26408	-0.090183
1.26413	-0.090183
1.26419	-0.090183
1.26335	-0.090183
1.2637	-0.090183
1.265	-0.090183
1.26472	-0.090202
1.26483	-0.090202
1.26601	-0.090202
1.26605	-0.090202
1.26486	-0.090202
1.2639	-0.090222
1.26337	-0.090222
1.26279	-0.090242
1.26514	-0.090479
1.2858	-0.091544
1.28522	-0.09324
1.27608	-0.094305
1.25281	-0.094818
1.24501	-0.094838
1.24367	-0.094858
1.20572	-0.095331
1.14595	-0.096534
1.1041	-0.097323
1.08011	-0.097698
1.03661	-0.098586
0.99135	-0.099828
0.94048	-0.10111
0.90419	-0.101978
0.89388	-0.102609
0.89223	-0.102984
0.89131	-0.103043
0.89154	-0.103162
0.89221	-0.103596
0.89626	-0.104286
0.91208	-0.105095
0.93498	-0.105667
0.94849	-0.106199
0.95515	-0.106535
0.95818	-0.106614
0.95938	-0.106614
0.95901	-0.106614
0.95889	-0.106614
0.96013	-0.106614
0.95857	-0.106614
0.95847	-0.106614
0.96095	-0.106633
0.96419	-0.106653
0.96689	-0.106653
0.96632	-0.106673
0.966	-0.106693
0.96677	-0.106693
0.96603	-0.106693
0.96568	-0.106712
0.96533	-0.107698
0.8994	-0.108921
0.79295	-0.109888
0.72701	-0.110342
0.70616	-0.11044
0.69768	-0.110519
0.67268	-0.110716
0.61559	-0.111111
0.55524	-0.111565
0.50552	-0.11188
0.47673	-0.112137
0.46422	-0.112216
0.46265	-0.112216
0.46254	-0.112216
0.45651	-0.112235
0.45615	-0.112235
0.45721	-0.112235
0.46397	-0.112235
0.49878	-0.112255
0.50537	-0.112255
0.50842	-0.112255
0.50908	-0.112255
0.50929	-0.112255
0.50769	-0.112255
0.50787	-0.112255
0.50854	-0.112255
0.50801	-0.112255
0.50848	-0.112255
0.50885	-0.112255
0.50894	-0.112255
0.50931	-0.112255
0.509	-0.112255
0.50838	-0.112255
0.5085	-0.112255
0.50839	-0.112255
0.50897	-0.112255
0.5092	-0.112255
0.50848	-0.112255
0.50816	-0.112255
0.50827	-0.112255
0.50958	-0.112255
0.51027	-0.112255
0.50949	-0.112255
0.50919	-0.112255
0.50833	-0.112255
0.50795	-0.112255
0.50652	-0.112255
0.50797	-0.112255
0.50845	-0.112255
0.50732	-0.112255
0.50661	-0.112255
0.50682	-0.112255
0.50693	-0.112255
0.50682	-0.112255
0.50687	-0.112255
0.50702	-0.112255
0.50725	-0.112255
0.50766	-0.112255
0.50648	-0.112255
0.50684	-0.112255
0.50717	-0.112255
0.50768	-0.112255
0.50798	-0.112255
0.50708	-0.112255
0.5062	-0.112255
0.50493	-0.112255
0.50432	-0.112255
0.50403	-0.112255
0.50476	-0.112255
0.50635	-0.112255
0.50731	-0.112255
0.5078	-0.112255
0.50795	-0.112255
0.5083	-0.112255
0.50784	-0.112255
0.50728	-0.112255
0.50723	-0.112255
0.50768	-0.112255
0.508	-0.112255
0.50735	-0.112255
0.50839	-0.112255
0.50807	-0.112255
0.50743	-0.112255
0.50751	-0.112255
0.508	-0.112255
0.5087	-0.112255
0.50684	-0.112255
0.50629	-0.112255
0.50662	-0.112255
0.50616	-0.112255
0.50647	-0.112255
0.50739	-0.112255
0.50854	-0.112255
0.50858	-0.112255
0.50984	-0.112255
0.51059	-0.112255
0.51051	-0.112255
0.5089	-0.112255
0.50797	-0.112255
0.50687	-0.112255
0.50688	-0.112255
0.50633	-0.112255
0.50616	-0.112255
0.50647	-0.112255
0.50465	-0.112255
0.50497	-0.112255
0.50458	-0.112255
0.50494	-0.112255
0.50558	-0.112255
0.50558	-0.112255
0.50616	-0.112255
0.50604	-0.112255
0.50526	-0.112255
0.5052	-0.112255
0.50461	-0.112255
0.50381	-0.112255
0.50383	-0.112255
0.50409	-0.112255
0.50507	-0.112255
0.50565	-0.112255
0.50471	-0.112255
0.50504	-0.112255
0.50407	-0.112255
0.50537	-0.112255
0.50609	-0.112255
0.50674	-0.112255
0.50656	-0.112255
0.50699	-0.112255
0.50786	-0.112255
0.50722	-0.112255
0.50728	-0.112255
0.5061	-0.112255
0.50655	-0.112255
0.50862	-0.112255
0.50978	-0.112294
0.51089	-0.112255
0.52238	-0.112058
0.5721	-0.111427
0.69012	-0.110499
0.79721	-0.110026
0.881	-0.109553
0.95023	-0.108862
0.97688	-0.108271
0.97897	-0.108211
0.97971	-0.108251
0.97859	-0.108251
0.979	-0.108271
0.97971	-0.108271
0.97905	-0.10829
0.97844	-0.10829
0.97798	-0.10833
0.96326	-0.108843
0.92226	-0.109493
0.78622	-0.110716
0.6525	-0.111643
0.58325	-0.112038
0.58234	-0.112018
0.58406	-0.111999
0.58458	-0.111999
0.58434	-0.111999
0.5838	-0.111999
0.58401	-0.111999
0.58366	-0.111999
0.58356	-0.111999
0.58336	-0.111999
0.58432	-0.111999
0.58466	-0.111999
0.58121	-0.111999
0.58051	-0.111999
0.58368	-0.111999
0.58441	-0.111999
0.58461	-0.111999
0.58307	-0.111999
0.58371	-0.111999
0.5826	-0.111999
0.58261	-0.111999
0.58182	-0.111999
0.58244	-0.111999
0.58319	-0.111999
0.58342	-0.111999
0.58278	-0.111999
0.58325	-0.112018
0.58334	-0.112018
0.5818	-0.111999
0.58112	-0.112018
0.5816	-0.112038
0.57996	-0.112038
0.57858	-0.112038
0.5773	-0.112038
0.57668	-0.112038
0.57547	-0.112038
0.57533	-0.112038
0.57909	-0.112038
0.5842	-0.111999
0.58385	-0.111999
0.58409	-0.111999
0.58336	-0.111999
0.57849	-0.111999
0.57639	-0.112038
0.57222	-0.112038
0.51814	-0.112452
0.39996	-0.114188
0.3492	-0.116161
0.33813	-0.117541
0.33076	-0.118074
0.32434	-0.118271
0.32425	-0.118271
0.32529	-0.118251
0.32629	-0.118251
0.32613	-0.118251
0.32616	-0.118251
0.32625	-0.118251
0.32648	-0.118251
0.32735	-0.118251
0.32622	-0.118251
0.32608	-0.118271
0.32542	-0.118271
0.32446	-0.118271
0.30707	-0.118705
0.26569	-0.119652
0.21938	-0.120816
0.19385	-0.122177
0.18622	-0.122867
0.18561	-0.122946
0.18512	-0.122946
0.18419	-0.123084
0.17981	-0.123755
0.17447	-0.124761
0.17094	-0.125767
0.16953	-0.126299
0.16966	-0.126457
0.16901	-0.126832
0.16977	-0.12766
0.17194	-0.128627
0.17526	-0.129534
0.18127	-0.130303
0.18605	-0.130875
0.19318	-0.131546
0.19652	-0.132157
0.198	-0.132808
0.19569	-0.133716
0.19853	-0.134722
0.20518	-0.135373
0.2049	-0.135333
0.205	-0.135294
0.20488	-0.135294
0.20433	-0.135294
0.20412	-0.135294
0.20361	-0.135294
0.20386	-0.135294
0.2039	-0.135294
0.20491	-0.135294
0.20488	-0.135294
0.20448	-0.135294
0.20474	-0.135294
0.20511	-0.135313
0.20526	-0.135373
0.20531	-0.135373
0.20575	-0.135373
0.20583	-0.135373
0.20538	-0.135373
0.20502	-0.135373
0.2092	-0.13559
0.2236	-0.136497
0.22661	-0.137661
0.21758	-0.138351
0.21419	-0.138647
0.21368	-0.138726
0.21141	-0.139042
0.21516	-0.140067
0.23038	-0.141113
0.23508	-0.142
0.22569	-0.142651
0.21004	-0.143263
0.20732	-0.143874
0.21107	-0.144624
0.21823	-0.145354
0.21609	-0.146083
0.20651	-0.146695
0.19742	-0.147326
0.19295	-0.147799
0.19199	-0.14845
0.19527	-0.149299
0.1925	-0.150107
0.18901	-0.150462
0.18829	-0.150502
0.18867	-0.150502
0.18916	-0.150482
0.18909	-0.150482
0.18927	-0.150482
0.18936	-0.150482
0.18983	-0.150482
0.18896	-0.150482
0.19052	-0.150482
0.18961	-0.150482
0.18965	-0.150482
0.18973	-0.150482
0.18904	-0.150482
0.18973	-0.150482
0.1893	-0.150482
0.19002	-0.150502
0.18916	-0.150502
0.18652	-0.150561
0.17766	-0.151527
0.1767	-0.152671
0.17567	-0.153342
0.17479	-0.153677
0.17194	-0.154269
0.16914	-0.15494
0.16861	-0.155078
0.1682	-0.155275
0.16754	-0.155847
0.16693	-0.156557
0.1666	-0.157208
0.16652	-0.157839
0.16615	-0.158234
0.16609	-0.158372
0.16623	-0.158392
0.16591	-0.158431
0.16589	-0.158826
0.16618	-0.159358
0.1669	-0.15997
0.16708	-0.160364
0.16745	-0.160897
0.16814	-0.161548
0.16917	-0.162159
0.1714	-0.162692
0.17319	-0.163284
0.17253	-0.163836
0.1725	-0.164211
0.17256	-0.164743
0.17288	-0.165079
0.17513	-0.165532
0.17514	-0.165552
0.17532	-0.165552
0.17545	-0.165532
0.17496	-0.165532
0.17549	-0.165532
0.17542	-0.165532
0.17561	-0.165532
0.17569	-0.165532
0.17543	-0.165532
0.17517	-0.165532
