Time (s) rumore_abientale_1.5_candela	Light Intensity (% of scale max) rumore_abientale_1.5_candela
19.52	1.33861
19.56	1.35045
19.6	1.33698
19.64	1.30588
19.68	1.27087
19.72	1.27876
19.76	1.29395
19.8	1.31459
19.84	1.34239
19.88	1.35463
19.92	1.34468
19.96	1.31256
20.0	1.27498
20.04	1.28387
20.08	1.29941
20.12	1.32237
20.16	1.34998
20.2	1.36604
20.24	1.35626
20.28	1.32228
20.32	1.28015
20.36	1.28448
20.4	1.29762
20.44	1.31735
20.48	1.34113
20.52	1.36081
20.56	1.34895
20.6	1.32088
20.64	1.27435
20.68	1.27441
20.72	1.28561
20.76	1.30553
20.8	1.32829
20.84	1.35179
20.88	1.3434
20.92	1.32225
20.96	1.28833
21.0	1.26953
21.04	1.28308
21.08	1.30266
21.12	1.32475
21.16	1.35274
21.2	1.34859
21.24	1.32059
21.28	1.29997
21.32	1.27061
21.36	1.28693
21.4	1.30699
21.44	1.33134
21.48	1.35901
21.52	1.35663
21.56	1.33083
21.6	1.30875
21.64	1.27713
21.68	1.29073
21.72	1.30978
21.76	1.33136
21.8	1.36105
21.84	1.35995
21.88	1.33871
21.92	1.30988
21.96	1.27396
22.0	1.28879
22.04	1.30377
22.08	1.32318
22.12	1.35223
22.16	1.3573
22.2	1.33829
22.24	1.30002
22.28	1.26512
22.32	1.27293
22.36	1.28812
22.4	1.30731
22.44	1.33582
22.48	1.34529
22.52	1.32841
22.56	1.3064
22.6	1.26405
22.64	1.27052
22.68	1.28619
22.72	1.30869
22.76	1.34061
22.8	1.35527
22.84	1.34021
22.88	1.31355
22.92	1.27109
22.96	1.27774
23.0	1.29688
23.04	1.32048
23.08	1.35097
23.12	1.37839
23.16	1.37129
23.2	1.34384
23.24	1.32434
23.28	1.31146
23.32	1.32797
23.36	1.35036
23.4	1.37772
23.44	1.39946
23.48	1.38815
23.52	1.3587
23.56	1.33264
23.6	1.31326
23.64	1.32874
23.68	1.34972
23.72	1.37532
23.76	1.39857
23.8	1.39009
23.84	1.35695
23.88	1.33464
23.92	1.31392
23.96	1.33047
24.0	1.35233
24.04	1.37683
24.08	1.40343
24.12	1.39438
24.16	1.36842
24.2	1.33884
24.24	1.31456
24.28	1.33005
24.32	1.3513
24.36	1.37511
24.4	1.40604
24.44	1.40285
24.48	1.37801
24.52	1.34489
24.56	1.32042
24.6	1.33597
24.64	1.35544
24.68	1.37558
24.72	1.40617
24.76	1.39699
