Light Intensity (% of scale max) Alessio_0.16_1.5_lampadina	Position (m) Alessio_0.16_1.5_lampadina
0.06285	-0.064225
0.06299	-0.064225
0.06284	-0.064225
0.06281	-0.064225
0.06345	-0.064225
0.06314	-0.064225
0.06291	-0.064225
0.06334	-0.064225
0.0634	-0.064244
0.06325	-0.064244
0.06343	-0.064264
0.04988	-0.064895
0.0444	-0.065467
0.04623	-0.065665
0.05022	-0.065862
0.0528	-0.06596
0.05702	-0.066118
0.06009	-0.066217
0.06667	-0.066414
0.07968	-0.066907
0.08405	-0.067203
0.0833	-0.067381
0.08151	-0.067499
0.0759	-0.067736
0.06975	-0.067933
0.06346	-0.06811
0.05374	-0.068426
0.04788	-0.068682
0.04459	-0.068939
0.04642	-0.069235
0.04846	-0.069373
0.04857	-0.069373
0.04863	-0.069353
0.04863	-0.069353
0.0488	-0.069353
0.04883	-0.069353
0.04819	-0.069353
0.04884	-0.069353
0.04924	-0.069353
0.04916	-0.069353
0.0491	-0.069353
0.04919	-0.069353
0.04874	-0.069353
0.04868	-0.069353
0.04869	-0.069373
0.05493	-0.069531
0.08051	-0.07028
0.08659	-0.070438
0.09232	-0.070616
0.0972	-0.071089
0.09625	-0.071207
0.09413	-0.071385
0.09114	-0.071503
0.09026	-0.071562
0.07973	-0.071858
0.07803	-0.071917
0.07198	-0.072036
0.05818	-0.072391
0.05231	-0.072608
0.05109	-0.072647
0.04752	-0.072844
0.04869	-0.073239
0.0533	-0.073416
0.05911	-0.073574
0.06287	-0.073673
0.07036	-0.073811
0.09288	-0.074166
0.11063	-0.074482
0.11594	-0.074561
0.11641	-0.074561
0.11589	-0.074561
0.1143	-0.074561
0.11375	-0.074561
0.114	-0.074561
0.11255	-0.074561
0.11259	-0.074561
0.11171	-0.074561
0.11179	-0.074561
0.1111	-0.074561
0.11162	-0.074561
0.11264	-0.074561
0.11353	-0.074561
0.11473	-0.0746
0.12744	-0.075093
0.12373	-0.075566
0.11385	-0.075764
0.10144	-0.075882
0.09331	-0.07602
0.07608	-0.076217
0.07201	-0.076316
0.06001	-0.076474
0.05884	-0.076928
0.06715	-0.077125
0.07817	-0.077283
0.10306	-0.077519
0.12761	-0.077815
0.13849	-0.077914
0.16553	-0.078131
0.1994	-0.078584
0.20496	-0.078722
0.19115	-0.079137
0.17671	-0.079354
0.17308	-0.079373
0.1689	-0.079413
0.16808	-0.079413
0.16702	-0.079413
0.16602	-0.079413
0.16592	-0.079393
0.16466	-0.079393
0.16423	-0.079393
0.16365	-0.079393
0.16513	-0.079393
0.16579	-0.079393
0.16647	-0.079413
0.1658	-0.079413
0.1651	-0.079413
0.16609	-0.079413
0.16757	-0.079413
0.15302	-0.07959
0.09483	-0.080064
0.06645	-0.080439
0.0636	-0.080517
0.06526	-0.080754
0.10139	-0.081188
0.12994	-0.081366
0.18024	-0.081622
0.23456	-0.081898
0.28239	-0.082214
0.31006	-0.082628
0.30682	-0.082727
0.29964	-0.082884
0.26422	-0.083141
0.25961	-0.083141
0.19983	-0.083378
0.15244	-0.083693
0.15143	-0.083693
0.13464	-0.083772
0.11482	-0.08391
0.09991	-0.084009
0.08174	-0.084186
0.07629	-0.084344
0.07823	-0.084443
0.07831	-0.084443
0.07817	-0.084443
0.07845	-0.084443
0.07883	-0.084423
0.07947	-0.084423
0.07922	-0.084423
0.07895	-0.084423
0.07892	-0.084423
0.0784	-0.084423
0.07906	-0.084423
0.07851	-0.084443
0.07793	-0.084443
0.07924	-0.084462
0.09842	-0.084601
0.16338	-0.085034
0.16678	-0.085054
0.17308	-0.085074
0.19563	-0.085153
0.30801	-0.085449
0.47482	-0.08606
0.50594	-0.086179
0.54547	-0.086415
0.56451	-0.086573
0.53931	-0.086849
0.49873	-0.087027
0.49028	-0.087066
0.45259	-0.087263
0.32515	-0.087618
0.16814	-0.087954
0.15764	-0.088013
0.15685	-0.088033
0.15556	-0.088033
0.15343	-0.088013
0.15248	-0.088013
0.15152	-0.088013
0.1489	-0.088013
0.14844	-0.088013
0.14833	-0.088013
0.14708	-0.088013
0.14796	-0.088013
0.1483	-0.088013
0.14886	-0.088013
0.1494	-0.088013
0.15146	-0.088013
0.15291	-0.088013
0.15457	-0.088013
0.14388	-0.088092
0.12505	-0.088289
0.12738	-0.088447
0.1349	-0.088506
0.16112	-0.088644
0.40985	-0.089098
0.70134	-0.089394
1.01578	-0.089749
1.47379	-0.090143
1.53001	-0.090202
1.65826	-0.090479
1.56696	-0.090853
1.3566	-0.09113
1.04413	-0.091425
0.73904	-0.091662
0.52414	-0.091879
0.37033	-0.092293
0.72971	-0.092629
1.86813	-0.092984
2.38765	-0.093023
2.595	-0.093043
3.08813	-0.093122
3.33833	-0.093161
3.41096	-0.093161
3.37158	-0.093161
3.41464	-0.093141
3.32893	-0.093141
3.30592	-0.093141
3.31699	-0.093141
3.37466	-0.093141
3.33873	-0.093141
3.35455	-0.093141
3.36041	-0.093141
3.36453	-0.093141
3.32425	-0.093161
3.71352	-0.093181
6.49747	-0.093516
7.97961	-0.093694
9.31398	-0.093812
11.54692	-0.094029
16.22667	-0.094266
20.39081	-0.094581
22.03535	-0.094719
23.27536	-0.094838
26.32234	-0.095015
27.31139	-0.095094
29.87456	-0.09537
33.90175	-0.095725
37.42807	-0.09614
37.46164	-0.096554
36.24628	-0.09681
33.64856	-0.097047
30.45241	-0.097363
28.42421	-0.09756
24.04543	-0.097856
23.31451	-0.097875
22.80377	-0.097895
22.65849	-0.097895
22.69344	-0.097895
22.45009	-0.097895
22.1301	-0.097875
21.41866	-0.097875
21.65482	-0.097875
21.6796	-0.097875
21.6311	-0.097875
21.8342	-0.097875
21.86644	-0.097875
22.3537	-0.097875
22.24176	-0.097895
22.34473	-0.097895
22.42447	-0.097895
22.11955	-0.097954
14.03462	-0.098369
10.2375	-0.098724
8.68735	-0.098881
5.13249	-0.099217
4.5799	-0.099296
2.92941	-0.099592
1.19466	-0.099848
0.67281	-0.100104
0.4933	-0.100302
0.50769	-0.100538
0.75806	-0.100814
0.90022	-0.100893
0.97473	-0.100953
1.16528	-0.10111
1.34114	-0.101248
1.70032	-0.101485
1.88844	-0.10182
1.83797	-0.102274
1.66905	-0.102531
1.61874	-0.102629
1.53922	-0.102649
1.52017	-0.102649
1.49608	-0.102649
1.48941	-0.102649
1.48036	-0.102649
1.46078	-0.102649
1.46794	-0.102649
1.46915	-0.102649
1.46632	-0.102649
1.46597	-0.102649
1.49203	-0.102649
1.49431	-0.102649
1.51434	-0.102649
1.49936	-0.102649
1.41695	-0.102688
0.49713	-0.103497
0.21031	-0.10399
0.16272	-0.104247
0.16824	-0.104345
0.22102	-0.104582
0.40834	-0.105016
0.45447	-0.105095
0.58966	-0.105391
0.6705	-0.105529
0.70067	-0.105588
0.76071	-0.105805
0.7937	-0.106022
0.72972	-0.106377
0.58678	-0.106771
0.41035	-0.107146
0.2925	-0.107383
0.27414	-0.107403
0.26141	-0.107422
0.24997	-0.107442
0.21181	-0.10756
0.16968	-0.107659
0.16948	-0.107679
0.16893	-0.107659
0.16757	-0.107639
0.164	-0.107639
0.16408	-0.107639
0.16435	-0.107639
0.16653	-0.107639
0.1642	-0.107639
0.16382	-0.107639
0.16479	-0.107659
0.16504	-0.107659
0.16501	-0.107679
0.14694	-0.108547
0.31807	-0.109
0.33662	-0.10906
0.42357	-0.109454
0.46222	-0.109671
0.45764	-0.109927
0.41386	-0.110243
0.3448	-0.110499
0.21703	-0.110973
0.15703	-0.111249
0.11882	-0.111367
0.08983	-0.111644
0.08176	-0.111801
0.07881	-0.111979
0.09007	-0.112137
0.10103	-0.112235
0.12352	-0.112413
0.16826	-0.112709
0.20657	-0.112926
0.24364	-0.113222
0.2697	-0.113577
0.27205	-0.113754
0.27272	-0.113774
0.27177	-0.113774
0.27126	-0.113754
0.26833	-0.113734
0.26315	-0.113734
0.26251	-0.113734
0.26599	-0.113734
0.2663	-0.113734
0.2659	-0.113734
0.26503	-0.113734
0.26392	-0.113734
0.26163	-0.113754
0.26283	-0.113754
0.26361	-0.113774
0.25095	-0.11405
0.181	-0.114642
0.16959	-0.114721
0.14629	-0.114878
0.11047	-0.115135
0.08836	-0.115332
0.05801	-0.115746
0.0555	-0.115924
0.06004	-0.116141
0.08778	-0.116555
0.09831	-0.116634
0.11197	-0.116792
0.13982	-0.117048
0.15904	-0.117206
0.16959	-0.117324
0.18642	-0.117541
0.19432	-0.117798
0.19254	-0.118094
0.17784	-0.11833
0.16235	-0.118488
0.13329	-0.118804
0.1058	-0.118961
0.10074	-0.119021
0.09868	-0.119021
0.09875	-0.119021
0.09779	-0.119021
0.09778	-0.119001
0.09744	-0.119001
0.09717	-0.119001
0.09781	-0.119001
0.09702	-0.119001
0.09676	-0.119001
0.09698	-0.119001
0.0976	-0.119001
0.09796	-0.119001
0.09818	-0.119001
0.09747	-0.119021
0.09793	-0.119021
0.08502	-0.119139
0.06398	-0.119494
0.06136	-0.119672
0.07927	-0.120125
0.09013	-0.120303
0.1046	-0.120441
0.12802	-0.120756
0.13844	-0.120895
0.15359	-0.12123
0.1568	-0.121348
0.15244	-0.121624
0.14052	-0.12194
0.13844	-0.12196
0.12846	-0.122137
0.12082	-0.122256
0.1156	-0.122334
0.09235	-0.12263
0.07721	-0.122828
0.06007	-0.123143
0.05368	-0.123301
0.05147	-0.12336
0.04932	-0.123518
0.05168	-0.123814
0.05241	-0.123834
0.05209	-0.123834
0.05272	-0.123814
0.05328	-0.123774
0.0529	-0.123774
0.05289	-0.123774
0.05254	-0.123774
0.05293	-0.123774
0.05296	-0.123774
0.05338	-0.123774
0.05287	-0.123774
0.05286	-0.123814
0.05246	-0.123834
0.05247	-0.123834
0.0788	-0.124484
0.10249	-0.12482
0.11993	-0.125076
0.13673	-0.12549
0.14043	-0.125569
0.14093	-0.125786
0.13692	-0.125944
0.13089	-0.126141
0.10907	-0.126496
0.08389	-0.126812
0.07266	-0.12693
0.06485	-0.127068
0.05669	-0.127226
0.05273	-0.127364
0.0509	-0.127502
0.0515	-0.127719
0.05551	-0.127897
0.06546	-0.128153
0.07188	-0.128232
0.07231	-0.128232
0.07283	-0.128232
0.07295	-0.128232
0.07277	-0.128173
0.07266	-0.128153
0.07249	-0.128153
0.07106	-0.128153
0.07213	-0.128153
0.07237	-0.128153
0.07217	-0.128153
0.07155	-0.128153
0.07153	-0.128193
0.07272	-0.128213
0.07388	-0.128232
0.07353	-0.128232
0.09106	-0.128627
0.10619	-0.128923
0.11249	-0.129159
0.11444	-0.129554
0.11145	-0.129712
0.10686	-0.129929
0.09314	-0.130244
0.0873	-0.130343
0.07715	-0.13054
0.06812	-0.130718
0.05682	-0.131013
0.04762	-0.13125
0.04393	-0.131428
0.04263	-0.131664
0.04756	-0.13198
0.05389	-0.132158
0.06361	-0.132394
0.07582	-0.132591
0.08582	-0.132769
0.09901	-0.133025
0.10251	-0.133065
0.10326	-0.133065
0.10292	-0.133065
0.10352	-0.133006
0.10214	-0.133006
0.1026	-0.132986
0.09924	-0.133006
0.10152	-0.133006
0.1015	-0.133006
0.1019	-0.133006
0.10234	-0.133006
0.10106	-0.133006
0.10173	-0.133006
0.10191	-0.133065
0.10088	-0.133065
0.10435	-0.133144
0.10876	-0.133558
0.10609	-0.133775
0.09818	-0.134012
0.07666	-0.134446
0.07144	-0.134544
0.05472	-0.134958
0.04799	-0.135235
0.04613	-0.135373
0.04448	-0.13553
0.04498	-0.135669
0.04849	-0.135984
0.05566	-0.136319
0.05925	-0.136458
0.07076	-0.136911
0.07742	-0.137503
0.07698	-0.137621
0.07689	-0.137661
0.07549	-0.137759
0.07455	-0.137819
0.0726	-0.137937
0.07225	-0.137957
0.07213	-0.137957
0.07143	-0.137957
0.07137	-0.137917
0.07176	-0.137897
0.07169	-0.137897
0.07182	-0.137897
0.07181	-0.137897
0.07127	-0.137897
0.07133	-0.137897
0.07169	-0.137897
0.07211	-0.137897
0.07245	-0.137937
0.07188	-0.137957
0.0719	-0.137957
0.06903	-0.138075
0.05916	-0.13843
0.05554	-0.138529
0.05067	-0.138667
0.04585	-0.138864
0.03983	-0.139298
0.04466	-0.139831
0.05296	-0.140186
0.06186	-0.14062
0.06577	-0.140876
0.06731	-0.140975
0.06879	-0.141152
0.06903	-0.141527
0.0675	-0.141685
0.06346	-0.142
0.06035	-0.142158
0.05664	-0.142296
0.04839	-0.142651
0.04311	-0.142927
0.04095	-0.143184
0.04074	-0.143361
0.0442	-0.143677
0.0441	-0.143697
0.04422	-0.143697
0.04384	-0.143677
0.04416	-0.143657
0.04465	-0.143618
0.04454	-0.143637
0.04414	-0.143637
0.04477	-0.143637
0.04472	-0.143637
0.04504	-0.143637
0.04462	-0.143637
0.0443	-0.143637
0.04488	-0.143637
0.04482	-0.143657
0.04369	-0.143677
0.04607	-0.143894
0.05817	-0.144525
0.06085	-0.144722
0.06316	-0.145058
0.06381	-0.145255
0.06221	-0.145551
0.05556	-0.146064
0.05005	-0.146281
0.04536	-0.146616
0.04294	-0.146715
0.03987	-0.14701
0.03954	-0.147306
0.03929	-0.147365
0.04211	-0.147602
0.04787	-0.147938
0.05139	-0.148115
0.05846	-0.148549
0.06018	-0.148648
0.06107	-0.148963
0.06013	-0.149299
0.05881	-0.149476
0.0549	-0.149732
0.05309	-0.14989
0.0513	-0.150009
0.04861	-0.150147
0.04865	-0.150147
0.04839	-0.150147
0.04814	-0.150147
0.04828	-0.150127
0.04771	-0.150048
0.04832	-0.150009
0.04765	-0.150009
0.04727	-0.150009
0.04828	-0.150009
0.0484	-0.150009
0.04828	-0.150028
0.04843	-0.150088
0.04836	-0.150127
0.04703	-0.150265
0.04196	-0.1506
0.03969	-0.150738
0.03879	-0.150837
0.03856	-0.15135
0.04121	-0.151527
0.04546	-0.151843
0.05183	-0.152257
0.05363	-0.152415
0.05617	-0.15281
0.05566	-0.153125
0.05356	-0.15348
0.04707	-0.154033
0.04277	-0.154348
0.03929	-0.154624
0.03838	-0.154683
0.03752	-0.154782
0.03694	-0.15496
0.03694	-0.15496
0.03664	-0.155039
0.03691	-0.155098
0.03827	-0.155315
0.04123	-0.155551
0.04222	-0.15563
0.04611	-0.155867
0.04787	-0.156084
0.04877	-0.156143
0.05078	-0.156439
0.05116	-0.156774
0.05119	-0.156833
0.05159	-0.156952
0.05054	-0.157169
0.04945	-0.157327
0.04918	-0.157346
0.04852	-0.157346
0.04887	-0.157327
0.04878	-0.157327
0.0488	-0.157307
0.04846	-0.157307
0.04877	-0.157307
0.04842	-0.157307
0.04886	-0.157307
0.04893	-0.157307
0.04845	-0.157307
0.04866	-0.157327
0.04915	-0.157346
0.04968	-0.157425
0.04736	-0.1578
0.03992	-0.158372
0.03699	-0.158589
0.03645	-0.158767
0.03679	-0.15922
0.03807	-0.159398
0.04094	-0.159713
0.04547	-0.160206
0.04802	-0.160562
0.04936	-0.161153
0.0471	-0.161607
0.04413	-0.161883
0.04102	-0.16214
0.04019	-0.162199
0.03793	-0.162455
0.03671	-0.162672
0.03673	-0.162751
0.03651	-0.16281
0.03703	-0.162988
0.03796	-0.163284
0.03993	-0.16352
0.04047	-0.163599
0.04237	-0.163796
0.04399	-0.163856
0.04558	-0.164033
0.04915	-0.164428
0.0498	-0.164467
0.04984	-0.164507
0.05005	-0.164507
0.04951	-0.164487
0.04956	-0.164487
0.04883	-0.164487
0.04939	-0.164487
0.0497	-0.164487
0.0498	-0.164487
0.04948	-0.164487
0.0499	-0.164487
0.0493	-0.164487
0.04961	-0.164487
0.0495	-0.164487
0.04944	-0.164487
0.04973	-0.164487
0.05083	-0.164566
0.05083	-0.165059
0.04749	-0.165414
0.04478	-0.165631
0.04201	-0.165828
0.03716	-0.166183
0.03557	-0.166676
0.03604	-0.167012
0.03784	-0.16715
0.039	-0.167367
0.04001	-0.167406
0.04102	-0.167485
0.04471	-0.167801
0.04848	-0.167998
0.05006	-0.168235
0.05147	-0.168511
0.05162	-0.168649
0.05132	-0.168787
0.04993	-0.168905
0.04922	-0.168964
0.04605	-0.169241
0.04402	-0.169339
0.04179	-0.169596
0.03635	-0.169951
0.03656	-0.17001
0.03615	-0.17003
0.03633	-0.17003
0.03632	-0.17001
0.0363	-0.17001
0.03615	-0.16997
0.03616	-0.16997
0.03592	-0.16997
0.03583	-0.16997
0.03596	-0.16997
0.0358	-0.16997
0.03606	-0.16997
0.0358	-0.16997
0.0363	-0.16999
0.03627	-0.17001
0.0359	-0.170108
0.03552	-0.170266
0.03523	-0.170325
0.03642	-0.17068
0.03934	-0.171016
0.04201	-0.17141
0.04523	-0.171903
0.04546	-0.17214
0.04529	-0.172475
0.04495	-0.172673
0.0441	-0.17285
0.04254	-0.173107
0.04117	-0.173383
0.04054	-0.173501
0.03976	-0.173639
0.03902	-0.173738
0.03841	-0.173797
0.0368	-0.174231
0.03545	-0.174586
0.03555	-0.174724
0.03665	-0.175138
0.04114	-0.175572
0.04173	-0.17571
0.04413	-0.176046
0.04494	-0.176065
0.04483	-0.176065
0.04497	-0.176065
0.0452	-0.176046
0.04489	-0.176026
0.04501	-0.176026
0.04541	-0.176026
0.04527	-0.176026
0.04564	-0.176026
0.04591	-0.176026
0.04568	-0.176026
0.04547	-0.176026
0.0457	-0.176026
0.04518	-0.176085
0.04749	-0.176558
0.04613	-0.176973
0.04568	-0.177111
0.04367	-0.177308
0.03992	-0.177643
0.03615	-0.178018
0.035	-0.178472
0.03648	-0.178827
0.03923	-0.179182
0.0423	-0.179478
0.04382	-0.179774
0.04388	-0.179774
0.04401	-0.179774
0.0434	-0.179774
0.04404	-0.179774
0.04376	-0.179793
0.04393	-0.179793
0.04428	-0.179793
0.04427	-0.179813
0.04443	-0.179813
0.04387	-0.179813
0.04404	-0.179793
0.04364	-0.179793
0.04404	-0.179793
0.0443	-0.179793
0.04434	-0.179774
0.04407	-0.179774
0.04402	-0.179774
0.04414	-0.179714
0.04483	-0.179497
0.04477	-0.179458
0.04489	-0.179438
0.04486	-0.179438
0.04503	-0.179438
0.04503	-0.179379
0.04494	-0.17934
0.04443	-0.179103
0.04262	-0.178787
0.04126	-0.17859
0.03856	-0.178334
0.03619	-0.177979
0.03612	-0.177919
0.03525	-0.177821
0.03531	-0.177742
0.03548	-0.177722
0.03523	-0.177584
0.03519	-0.177466
0.03574	-0.177387
0.0372	-0.177091
0.03914	-0.176973
0.0416	-0.176736
0.04248	-0.176657
0.04395	-0.176558
0.04712	-0.176125
0.04724	-0.175868
0.0462	-0.175671
