Time (s) rumore_di_fondo_lampadina	Light Intensity (% of scale max) rumore_di_fondo_lampadina
21.36	0.0441
21.4	0.04382
21.44	0.04376
21.48	0.04384
21.52	0.04333
21.56	0.04384
21.6	0.04391
21.64	0.04359
21.68	0.0437
21.72	0.04379
21.76	0.04376
21.8	0.04369
21.84	0.0437
21.88	0.04373
21.92	0.04373
21.96	0.04366
22.0	0.04352
22.04	0.0435
22.08	0.04355
22.12	0.04369
22.16	0.04323
22.2	0.04346
22.24	0.04321
22.28	0.04379
22.32	0.04382
22.36	0.04362
22.4	0.04311
22.44	0.04358
22.48	0.04333
22.52	0.04375
22.56	0.04362
22.6	0.04379
22.64	0.04352
22.68	0.0435
22.72	0.04343
22.76	0.04333
22.8	0.04317
22.84	0.04324
22.88	0.04384
22.92	0.04344
22.96	0.0439
23.0	0.04385
23.04	0.0433
23.08	0.04337
23.12	0.04341
23.16	0.04384
23.2	0.04355
23.24	0.04329
23.28	0.04311
23.32	0.0433
23.36	0.04353
23.4	0.04364
23.44	0.04366
23.48	0.04335
23.52	0.04353
23.56	0.0435
23.6	0.04324
23.64	0.04344
23.68	0.04369
23.72	0.04364
23.76	0.04338
23.8	0.04359
23.84	0.04317
23.88	0.0432
23.92	0.04396
23.96	0.04318
24.0	0.04332
24.04	0.04343
24.08	0.04346
24.12	0.0437
24.16	0.04343
24.2	0.04317
24.24	0.04359
24.28	0.04303
24.32	0.04327
24.36	0.04353
24.4	0.04314
24.44	0.04335
24.48	0.04341
24.52	0.04344
24.56	0.04349
24.6	0.04329
24.64	0.04372
24.68	0.04349
24.72	0.04333
24.76	0.04317
24.8	0.04295
24.84	0.04294
24.88	0.04341
24.92	0.04344
24.96	0.04315
25.0	0.04311
25.04	0.04314
25.08	0.0433
25.12	0.04317
25.16	0.04346
25.2	0.0434
25.24	0.04305
25.28	0.04306
25.32	0.0432
25.36	0.04297
25.4	0.04294
25.44	0.04315
25.48	0.04326
25.52	0.0437
25.56	0.04393
25.6	0.04329
25.64	0.04317
25.68	0.0434
25.72	0.04333
25.76	0.04295
25.8	0.04323
25.84	0.04318
25.88	0.04343
25.92	0.04332
25.96	0.04265
26.0	0.04306
26.04	0.04312
26.08	0.04337
26.12	0.04309
26.16	0.04314
26.2	0.04364
26.24	0.04346
26.28	0.04384
26.32	0.0434
26.36	0.04327
26.4	0.04327
26.44	0.04369
26.48	0.04314
26.52	0.04286
26.56	0.04364
26.6	0.0434
26.64	0.04327
26.68	0.04333
26.72	0.04327
26.76	0.04341
26.8	0.04327
26.84	0.04355
26.88	0.04321
26.92	0.04352
26.96	0.04295
27.0	0.0432
27.04	0.04333
27.08	0.04312
27.12	0.04327
27.16	0.0433
27.2	0.04337
27.24	0.04335
27.28	0.04314
27.32	0.0433
27.36	0.04355
27.4	0.04344
27.44	0.04344
27.48	0.04349
27.52	0.04355
27.56	0.04384
27.6	0.04355
27.64	0.04367
27.68	0.04355
27.72	0.0433
27.76	0.04303
27.8	0.04356
27.84	0.04327
27.88	0.04366
27.92	0.04323
27.96	0.04314
28.0	0.04311
28.04	0.04315
28.08	0.0435
28.12	0.04324
28.16	0.04333
28.2	0.04309
28.24	0.0434
28.28	0.04346
28.32	0.04306
28.36	0.04335
28.4	0.0433
28.44	0.04346
28.48	0.04337
28.52	0.0434
28.56	0.04317
28.6	0.04312
28.64	0.04314
28.68	0.04356
28.72	0.04318
28.76	0.0432
28.8	0.04338
28.84	0.04327
28.88	0.04305
28.92	0.04323
28.96	0.04373
29.0	0.0433
29.04	0.04318
29.08	0.04343
29.12	0.0432
29.16	0.04355
29.2	0.04338
29.24	0.04359
29.28	0.04327
29.32	0.04301
29.36	0.04326
29.4	0.04356
29.44	0.04318
29.48	0.04301
29.52	0.04358
29.56	0.04303
29.6	0.0428
29.64	0.04323
29.68	0.04341
29.72	0.04353
29.76	0.0432
29.8	0.04343
29.84	0.04312
29.88	0.04317
29.92	0.04327
29.96	0.04366
30.0	0.0432
30.04	0.04292
30.08	0.04277
30.12	0.04361
30.16	0.043
30.2	0.04335
30.24	0.04349
30.28	0.04301
30.32	0.0432
30.36	0.04338
30.4	0.04327
30.44	0.04297
30.48	0.04318
30.52	0.04379
30.56	0.04375
30.6	0.04375
30.64	0.04335
30.68	0.04356
30.72	0.04338
30.76	0.04317
30.8	0.04323
30.84	0.04298
30.88	0.04352
30.92	0.04343
30.96	0.04333
31.0	0.04327
31.04	0.04321
31.08	0.04346
31.12	0.04303
31.16	0.04355
31.2	0.04353
31.24	0.04359
31.28	0.04295
31.32	0.0433
31.36	0.04274
31.4	0.04333
31.44	0.04324
31.48	0.04382
31.52	0.04356
31.56	0.04324
31.6	0.04344
31.64	0.04335
31.68	0.04367
31.72	0.0435
31.76	0.04329
31.8	0.0433
31.84	0.04335
