Light Intensity (% of scale max) Alessio_0.04_1.0_lampada	Position (m) Alessio_0.04_1.0_lampada
0.13237	-0.074383
0.12993	-0.074837
0.12131	-0.075468
0.12068	-0.075547
0.12064	-0.075547
0.12077	-0.075527
0.11984	-0.075527
0.1179	-0.075527
0.11928	-0.075527
0.12	-0.075527
0.1199	-0.075527
0.12009	-0.075527
0.11926	-0.075527
0.11938	-0.075527
0.11874	-0.075527
0.11946	-0.075547
0.11009	-0.075902
0.09961	-0.076296
0.09854	-0.076336
0.09731	-0.076395
0.09268	-0.076553
0.08247	-0.076849
0.0733	-0.077164
0.06876	-0.077322
0.05739	-0.077815
0.04684	-0.078328
0.04045	-0.078663
0.03546	-0.079156
0.03459	-0.079354
0.03488	-0.07963
0.03732	-0.079945
0.03752	-0.079965
0.04114	-0.080202
0.04207	-0.0803
0.04233	-0.080281
0.04236	-0.080281
0.04292	-0.080281
0.04268	-0.080281
0.04291	-0.080281
0.04227	-0.080281
0.0426	-0.080281
0.04239	-0.080281
0.04216	-0.080281
0.04219	-0.080281
0.04214	-0.080281
0.04301	-0.08032
0.04732	-0.080498
0.05991	-0.080932
0.06836	-0.081247
0.07172	-0.081306
0.09149	-0.081602
0.11687	-0.082076
0.12643	-0.082194
0.16101	-0.082569
0.19847	-0.083062
0.20938	-0.08318
0.25906	-0.083634
0.31113	-0.084127
0.35039	-0.084403
0.37193	-0.084522
0.37112	-0.084522
0.36937	-0.084522
0.3717	-0.084502
0.37393	-0.084502
0.36711	-0.084502
0.37231	-0.084502
0.37483	-0.084502
0.3774	-0.084502
0.37521	-0.084502
0.37256	-0.084502
0.36916	-0.084502
0.37033	-0.084522
0.3725	-0.084541
0.37807	-0.08462
0.43265	-0.084975
0.44603	-0.085113
0.46742	-0.085251
0.56952	-0.085981
0.6091	-0.086179
0.62718	-0.086257
0.68138	-0.086534
0.72488	-0.08677
0.79214	-0.087145
0.86073	-0.0875
0.94463	-0.088033
1.05118	-0.088368
1.06107	-0.088407
1.07068	-0.088447
1.0661	-0.088447
1.06651	-0.088447
1.07135	-0.088427
1.08044	-0.088407
1.06389	-0.088407
1.08255	-0.088407
1.07819	-0.088407
1.07709	-0.088407
1.07324	-0.088407
1.06483	-0.088407
1.06273	-0.088407
1.06375	-0.088427
1.07286	-0.088506
1.14899	-0.089098
1.37973	-0.089847
1.40204	-0.089907
1.4278	-0.089985
1.46687	-0.090163
1.5361	-0.090538
1.60568	-0.090893
1.65715	-0.091149
1.67604	-0.091228
1.69443	-0.091268
1.74562	-0.091504
1.78447	-0.091721
1.82809	-0.092076
1.89603	-0.09253
1.94142	-0.092668
1.95227	-0.092668
1.93423	-0.092668
1.92207	-0.092648
1.92093	-0.092648
1.91734	-0.092648
1.9252	-0.092648
1.93266	-0.092648
1.92187	-0.092648
1.92154	-0.092648
1.90765	-0.092668
1.90108	-0.092668
1.90938	-0.092865
1.96024	-0.093299
1.98157	-0.093496
2.02322	-0.094029
2.04088	-0.094207
2.05321	-0.094364
2.06839	-0.0947
2.08102	-0.094759
2.08345	-0.094956
2.12688	-0.095272
2.12364	-0.095528
2.12326	-0.095883
2.11955	-0.096258
2.11066	-0.096514
