Light Intensity (% of scale max) Alessio_0.16_0.5_lampadina	Position (m) Alessio_0.16_0.5_lampadina
0.0000000000	-0.0332000000
0.0000000000	-0.0337000000
0.0000000000	-0.0340000000
0.0000000000	-0.0341000000
0.0000000000	-0.0343000000
0.0000000000	-0.0345000000
0.0000000000	-0.0347000000
0.0000000000	-0.0351000000
0.0000000000	-0.0353000000
0.0000000000	-0.0356000000
0.0000000000	-0.0360000000
0.0000000000	-0.0363000000
0.0000000000	-0.0363000000
0.0000000000	-0.0363000000
0.0000000000	-0.0363000000
0.0000000000	-0.0364000000
0.0000000000	-0.0366000000
0.0000000000	-0.0367000000
0.0000000000	-0.0369000000
0.0000000000	-0.0372000000
0.0000000000	-0.0373000000
0.0000000000	-0.0376000000
0.0000000000	-0.0377000000
0.0000000000	-0.0377000000
0.0000000000	-0.0377000000
0.0000000000	-0.0377000000
0.0000000000	-0.0376000000
0.0000000000	-0.0376000000
0.0000000000	-0.0376000000
0.0000000000	-0.0376000000
0.0000000000	-0.0376000000
0.0000000000	-0.0376000000
0.0000000000	-0.0376000000
0.0000000000	-0.0376000000
0.0000000000	-0.0377000000
0.0000000000	-0.0377000000
0.0000000000	-0.0377000000
0.0000000000	-0.0377000000
0.0000000000	-0.0380000000
0.0000000000	-0.0386000000
0.0000000000	-0.0387000000
0.0000000000	-0.0391000000
0.0000000000	-0.0395000000
0.0000000000	-0.0396000000
0.0000000000	-0.0400000000
0.0000000000	-0.0402000000
0.0000000000	-0.0403000000
0.0000000000	-0.0406000000
0.0000000000	-0.0408000000
0.0000000000	-0.0409000000
0.0000000000	-0.0412000000
0.0000000000	-0.0412000000
0.0000000000	-0.0412000000
0.0000000000	-0.0413000000
0.0000000000	-0.0413000000
0.0000000000	-0.0416000000
0.0000000000	-0.0417000000
0.0000000000	-0.0417000000
0.0000000000	-0.0417000000
0.0000000000	-0.0417000000
0.0000000000	-0.0417000000
0.0000000000	-0.0417000000
0.0000000000	-0.0417000000
0.0000000000	-0.0417000000
0.0000000000	-0.0417000000
0.0000000000	-0.0417000000
0.0000000000	-0.0417000000
0.0000000000	-0.0417000000
0.0000000000	-0.0417000000
0.0000000000	-0.0417000000
0.0000000000	-0.0417000000
0.0000000000	-0.0417000000
0.0000000000	-0.0417000000
0.0000000000	-0.0418000000
0.0000000000	-0.0424000000
0.0000000000	-0.0424000000
0.0000000000	-0.0425000000
0.0000000000	-0.0425000000
0.0000000000	-0.0427000000
0.0000000000	-0.0430000000
0.0000000000	-0.0431000000
0.0000000000	-0.0432000000
0.0000000000	-0.0434000000
0.0000000000	-0.0437000000
0.0000000000	-0.0441000000
0.0000000000	-0.0442000000
0.0000000000	-0.0442000000
0.0000000000	-0.0445000000
0.0000000000	-0.0447000000
0.0000000000	-0.0448000000
0.0000000000	-0.0452000000
0.0000000000	-0.0453000000
0.0000000000	-0.0454000000
0.0000000000	-0.0454000000
0.0000000000	-0.0454000000
0.0000000000	-0.0453000000
0.0000000000	-0.0453000000
0.0000000000	-0.0453000000
0.0000000000	-0.0453000000
0.0000000000	-0.0453000000
0.0000000000	-0.0453000000
0.0000000000	-0.0453000000
0.0000000000	-0.0453000000
0.0000000000	-0.0453000000
0.0000000000	-0.0453000000
0.0000000000	-0.0454000000
0.0000000000	-0.0454000000
0.0000000000	-0.0454000000
