Light Intensity (% of scale max) Alessio_doubleslit_0.08_0.5_1.5_lampadina	Position (m) Alessio_doubleslit_0.08_0.5_1.5_lampadina
0.04889	-0.05452
0.04916	-0.05452
0.04913	-0.05452
0.04904	-0.05454
0.04788	-0.054796
0.04782	-0.055013
0.04776	-0.055092
0.04803	-0.055112
0.04787	-0.055112
0.04895	-0.055329
0.04964	-0.055506
0.05009	-0.055506
0.05032	-0.055506
0.05009	-0.055427
0.05028	-0.055427
0.05017	-0.055427
0.0504	-0.055427
0.05029	-0.055427
0.05013	-0.055427
0.05	-0.055486
0.0498	-0.055506
0.05194	-0.055526
0.07024	-0.055822
0.10463	-0.056177
0.11856	-0.056473
0.11908	-0.056552
0.12862	-0.056946
0.16566	-0.057281
0.18755	-0.057518
0.18671	-0.057696
0.17772	-0.057873
0.1718	-0.05807
0.17651	-0.058228
0.17683	-0.058228
0.17685	-0.058208
0.1778	-0.058149
0.17813	-0.058149
0.17844	-0.058149
0.17778	-0.058149
0.17998	-0.058149
0.1805	-0.058149
0.17874	-0.058149
0.17825	-0.058208
0.17769	-0.058208
0.17867	-0.058228
0.19473	-0.058445
0.17123	-0.059096
0.15935	-0.059333
0.1703	-0.059648
0.1767	-0.059826
0.16809	-0.060023
0.12709	-0.060457
0.12433	-0.060773
0.12277	-0.061108
0.10286	-0.061325
0.0975	-0.061345
0.09743	-0.061345
0.09732	-0.061305
0.09651	-0.061305
0.09641	-0.061305
0.09712	-0.061305
0.09642	-0.061305
0.09547	-0.061305
0.09543	-0.061305
0.0952	-0.061305
0.09584	-0.061325
0.09636	-0.061345
0.09579	-0.061345
0.08565	-0.061522
0.07579	-0.062134
0.07152	-0.062331
0.06558	-0.062666
0.06621	-0.062923
0.06682	-0.063041
0.07629	-0.063376
0.11299	-0.063712
0.15045	-0.064047
0.15347	-0.064264
0.15242	-0.064303
0.15234	-0.064303
0.15205	-0.064303
0.15205	-0.064264
0.15189	-0.064264
0.15161	-0.064264
0.15123	-0.064264
0.1515	-0.064264
0.15215	-0.064264
0.15213	-0.064264
0.1519	-0.064264
0.15182	-0.064303
0.15115	-0.064303
0.15178	-0.064303
0.15982	-0.064442
0.24963	-0.065053
0.25563	-0.065211
0.24919	-0.065329
0.23471	-0.065665
0.27055	-0.06598
0.31343	-0.066315
0.28859	-0.066611
0.25977	-0.066828
0.26328	-0.067045
0.29175	-0.067262
