Time (s) rumore_ambientale_candela	Light Intensity (% of scale max) rumore_ambientale_candela
18.52	3.77972
18.56	3.75447
18.6	3.70641
18.64	3.66393
18.68	3.71129
18.72	3.7618
18.76	3.75676
18.8	3.71312
18.84	3.65483
18.88	3.69176
18.92	3.7498
18.96	3.76482
19.0	3.7263
19.04	3.6523
19.08	3.67986
19.12	3.72758
19.16	3.77205
19.2	3.74121
19.24	3.69394
19.28	3.67189
19.32	3.72224
19.36	3.7746
19.4	3.76187
19.44	3.71936
19.48	3.68155
19.52	3.7253
19.56	3.78302
19.6	3.79749
19.64	3.76089
19.68	3.69901
19.72	3.73436
19.76	3.78531
19.8	3.82626
19.84	3.79091
19.88	3.74539
19.92	3.73376
19.96	3.78134
20.0	3.8322
20.04	3.81476
20.08	3.76828
20.12	3.72774
20.16	3.76714
20.2	3.81958
20.24	3.82387
20.28	3.77977
20.32	3.71758
20.36	3.74742
20.4	3.79594
20.44	3.83133
20.48	3.79497
20.52	3.74316
20.56	3.72723
20.6	3.76764
20.64	3.81984
20.68	3.7946
20.72	3.74352
20.76	3.6996
20.8	3.73393
20.84	3.78748
20.88	3.78325
20.92	3.73816
20.96	3.66751
21.0	3.69386
21.04	3.74612
21.08	3.76845
21.12	3.73257
21.16	3.68239
21.2	3.67236
21.24	3.71683
21.28	3.77069
21.32	3.74623
21.36	3.70186
21.4	3.66199
21.44	3.70358
21.48	3.76294
21.52	3.76161
21.56	3.71927
21.6	3.65503
21.64	3.69571
21.68	3.74486
21.72	3.77667
21.76	3.73962
21.8	3.69165
21.84	3.67818
21.88	3.72762
21.92	3.77573
21.96	3.75153
22.0	3.70403
22.04	3.66554
22.08	3.70996
22.12	3.75977
22.16	3.75652
22.2	3.70738
22.24	3.64256
22.28	3.68465
22.32	3.73593
22.36	3.75693
22.4	3.71811
22.44	3.66609
22.48	3.66801
22.52	3.71852
22.56	3.7607
22.6	3.73074
22.64	3.681
22.68	3.6553
22.72	3.70261
22.76	3.75876
22.8	3.74417
22.84	3.69878
22.88	3.64702
22.92	3.69011
22.96	3.73994
23.0	3.74915
23.04	3.70755
23.08	3.65697
23.12	3.67241
23.16	3.72798
23.2	3.75877
23.24	3.72768
23.28	3.68138
23.32	3.66908
23.36	3.71909
23.4	3.76859
23.44	3.74658
23.48	3.70068
23.52	3.66681
23.56	3.70799
23.6	3.76883
23.64	3.7657
23.68	3.72473
23.72	3.67485
23.76	3.70328
23.8	3.75833
23.84	3.78676
23.88	3.75334
23.92	3.70805
23.96	3.69894
