Time (s) intensità_laser_sole	Light Intensity (% of scale max) intensità_laser_sole
26.2	35.31929
26.24	35.32039
26.28	35.31374
26.32	35.31142
26.36	35.31264
26.4	35.31569
26.44	35.31117
26.48	35.31845
26.52	35.31706
26.56	35.31573
26.6	35.31198
26.64	35.31711
26.68	35.32086
26.72	35.31683
26.76	35.31758
26.8	35.31384
26.84	35.31479
26.88	35.31195
26.92	35.31821
26.96	35.31488
27.0	35.31931
27.04	35.31209
27.08	35.31488
27.12	35.31841
27.16	35.31589
27.2	35.32269
27.24	35.31679
27.28	35.3187
27.32	35.3167
27.36	35.31396
27.4	35.31804
27.44	35.3213
27.48	35.3179
27.52	35.31978
27.56	35.3157
27.6	35.32027
27.64	35.31706
27.68	35.31384
27.72	35.31432
27.76	35.31512
27.8	35.31966
27.84	35.31889
27.88	35.31934
27.92	35.31458
27.96	35.31233
28.0	35.31226
28.04	35.31424
28.08	35.31374
28.12	35.3141
28.16	35.31441
28.2	35.3136
28.24	35.31274
28.28	35.31158
28.32	35.31053
28.36	35.31604
28.4	35.31715
28.44	35.31705
28.48	35.31267
28.52	35.31651
28.56	35.31715
28.6	35.31981
28.64	35.31349
28.68	35.31181
28.72	35.31091
28.76	35.31404
28.8	35.31805
28.84	35.31667
28.88	35.31425
28.92	35.31578
28.96	35.31949
29.0	35.31677
29.04	35.31569
29.08	35.31186
29.12	35.31464
29.16	35.31281
29.2	35.31316
29.24	35.31723
29.28	35.3183
29.32	35.31181
29.36	35.3119
29.4	35.31607
29.44	35.31189
29.48	35.31198
29.52	35.31075
29.56	35.31154
29.6	35.3139
29.64	35.31505
29.68	35.30984
29.72	35.31059
29.76	35.31216
29.8	35.31619
29.84	35.31454
29.88	35.31619
29.92	35.31334
29.96	35.3109
30.0	35.31085
30.04	35.30956
30.08	35.31491
30.12	35.31175
30.16	35.31374
30.2	35.31621
30.24	35.30952
30.28	35.30881
30.32	35.30907
30.36	35.31381
30.4	35.31381
30.44	35.31541
30.48	35.30984
30.52	35.31015
30.56	35.31181
30.6	35.31372
30.64	35.30991
30.68	35.30838
30.72	35.30779
30.76	35.3127
30.8	35.30899
30.84	35.31073
30.88	35.30898
30.92	35.31229
30.96	35.31039
31.0	35.30867
31.04	35.30904
31.08	35.32504
31.12	35.34097
31.16	35.31749
31.2	35.32114
31.24	35.31085
31.28	35.30388
31.32	35.3158
31.36	35.31206
31.4	35.31168
31.44	35.30286
31.48	35.31717
31.52	35.30975
31.56	35.30928
31.6	35.30635
31.64	35.30844
31.68	35.30733
31.72	35.30716
31.76	35.30984
31.8	35.30618
31.84	35.30742
31.88	35.31267
31.92	35.30681
31.96	35.3094
32.0	35.30627
32.04	35.31223
32.08	35.30782
32.12	35.30681
32.16	35.30421
32.2	35.30855
32.24	35.30814
32.28	35.3058
32.32	35.30934
32.36	35.31059
32.4	35.31039
32.44	35.30661
32.48	35.30638
32.52	35.31207
32.56	35.30887
32.6	35.30885
32.64	35.30954
32.68	35.30875
32.72	35.31526
32.76	35.30986
32.8	35.31073
32.84	35.31265
32.88	35.31827
32.92	35.30875
32.96	35.31247
33.0	35.31561
33.04	35.31833
33.08	35.31531
33.12	35.31476
33.16	35.31621
33.2	35.31401
33.24	35.31784
33.28	35.31873
33.32	35.31664
33.36	35.31454
33.4	35.3165
33.44	35.31592
33.48	35.31821
33.52	35.3175
33.56	35.31905
33.6	35.31702
33.64	35.31766
33.68	35.32045
33.72	35.32306
33.76	35.31651
33.8	35.31874
33.84	35.3177
33.88	35.32022
33.92	35.32443
33.96	35.32181
34.0	35.31744
34.04	35.31911
34.08	35.32297
34.12	35.31992
34.16	35.31532
34.2	35.31619
34.24	35.30405
34.28	35.30772
34.32	35.30981
34.36	35.30473
34.4	35.3157
34.44	35.31105
34.48	35.30438
34.52	35.31444
34.56	35.31354
34.6	35.32773
34.64	35.31573
34.68	35.31763
34.72	35.32048
34.76	35.31992
34.8	35.31874
34.84	35.31522
34.88	35.31897
34.92	35.32005
34.96	35.3161
35.0	35.32242
35.04	35.31606
35.08	35.31842
35.12	35.31482
35.16	35.31976
35.2	35.31766
35.24	35.32439
35.28	35.32088
35.32	35.31891
35.36	35.32458
35.4	35.32193
35.44	35.32196
35.48	35.31906
35.52	35.31909
35.56	35.31808
35.6	35.32144
35.64	35.32365
35.68	35.32198
35.72	35.3208
35.76	35.31543
35.8	35.3179
35.84	35.31808
35.88	35.32437
35.92	35.32335
35.96	35.32571
36.0	35.31906
36.04	35.31468
36.08	35.31734
36.12	35.31717
36.16	35.3221
36.2	35.32005
36.24	35.32492
36.28	35.31952
36.32	35.31728
36.36	35.31961
36.4	35.32201
36.44	35.31776
36.48	35.31488
36.52	35.31732
36.56	35.31471
36.6	35.3172
36.64	35.31935
36.68	35.31599
36.72	35.32056
36.76	35.3159
36.8	35.31775
36.84	35.3143
36.88	35.31601
36.92	35.31862
36.96	35.30328
37.0	35.30052
37.04	35.30211
37.08	35.29742
37.12	35.3053
37.16	35.3105
37.2	35.30754
37.24	35.3044
37.28	35.30794
37.32	35.31247
37.36	35.31429
37.4	35.31424
37.44	35.31363
37.48	35.30861
37.52	35.31042
37.56	35.31041
37.6	35.31766
37.64	35.3134
37.68	35.31612
37.72	35.31401
37.76	35.31528
37.8	35.31415
37.84	35.31735
37.88	35.31787
37.92	35.31291
37.96	35.31804
38.0	35.31526
38.04	35.319
38.08	35.31738
38.12	35.31711
38.16	35.31488
38.2	35.31419
38.24	35.31374
38.28	35.31235
38.32	35.31435
38.36	35.31613
38.4	35.32027
38.44	35.317
38.48	35.31364
38.52	35.31149
38.56	35.3094
38.6	35.31592
38.64	35.31564
38.68	35.31198
38.72	35.31468
38.76	35.31549
38.8	35.31433
38.84	35.31514
38.88	35.31221
38.92	35.31279
38.96	35.31094
39.0	35.3141
39.04	35.31657
39.08	35.32262
39.12	35.31487
39.16	35.31342
39.2	35.31947
39.24	35.31686
39.28	35.31172
39.32	35.31175
39.36	35.31325
39.4	35.315
39.44	35.31883
39.48	35.31409
39.52	35.31519
39.56	35.31317
39.6	35.31602
39.64	35.31956
39.68	35.31895
39.72	35.31227
39.76	35.31813
39.8	35.3149
39.84	35.31866
39.88	35.31314
39.92	35.31401
39.96	35.31488
40.0	35.31586
40.04	35.32074
40.08	35.32166
40.12	35.31723
40.16	35.31508
40.2	35.31567
40.24	35.31828
40.28	35.31419
40.32	35.31224
40.36	35.31555
40.4	35.30995
40.44	35.31044
40.48	35.30998
40.52	35.30632
40.56	35.31273
40.6	35.31071
40.64	35.31287
40.68	35.3107
40.72	35.30791
40.76	35.31398
40.8	35.31091
40.84	35.30853
40.88	35.30605
40.92	35.30527
40.96	35.30814
41.0	35.31047
41.04	35.30588
41.08	35.30334
41.12	35.30557
41.16	35.30829
41.2	35.30139
41.24	35.30042
41.28	35.29791
41.32	35.29329
41.36	35.29579
41.4	35.29413
41.44	35.29604
41.48	35.2979
41.52	35.30466
41.56	35.29048
41.6	35.29605
41.64	35.30946
41.68	35.30042
41.72	35.30684
41.76	35.30745
41.8	35.31281
41.84	35.30728
41.88	35.30507
41.92	35.30774
41.96	35.30591
42.0	35.31281
42.04	35.306
42.08	35.30615
42.12	35.30737
42.16	35.31221
42.2	35.31055
42.24	35.30905
42.28	35.30814
42.32	35.30804
42.36	35.30611
42.4	35.30745
42.44	35.30826
42.48	35.31238
42.52	35.30841
42.56	35.30563
42.6	35.30342
42.64	35.30779
42.68	35.31189
42.72	35.30847
42.76	35.30711
42.8	35.30348
42.84	35.30829
42.88	35.311
42.92	35.31114
42.96	35.30881
43.0	35.30902
43.04	35.30887
43.08	35.30693
43.12	35.31169
43.16	35.30421
43.2	35.30606
43.24	35.30437
43.28	35.31081
43.32	35.30798
43.36	35.30486
43.4	35.30731
43.44	35.30933
43.48	35.30994
43.52	35.30766
43.56	35.31151
43.6	35.31149
43.64	35.30952
43.68	35.31044
43.72	35.30687
43.76	35.30669
43.8	35.31145
43.84	35.31194
43.88	35.30565
43.92	35.30823
43.96	35.30891
44.0	35.31018
44.04	35.31154
44.08	35.30191
44.12	35.29556
44.16	35.28981
44.2	35.29008
44.24	35.29205
44.28	35.29013
44.32	35.28979
44.36	35.28978
44.4	35.29224
44.44	35.29485
44.48	35.29245
44.52	35.29181
44.56	35.28995
44.6	35.29066
44.64	35.29018
44.68	35.29411
44.72	35.29445
44.76	35.29553
44.8	35.29239
44.84	35.29224
44.88	35.29333
44.92	35.29222
44.96	35.29454
45.0	35.28967
45.04	35.28972
45.08	35.28992
45.12	35.29199
45.16	35.29221
45.2	35.29373
45.24	35.28915
45.28	35.2892
45.32	35.29022
45.36	35.29111
45.4	35.29088
45.44	35.28677
45.48	35.2883
45.52	35.28902
45.56	35.29295
45.6	35.28757
45.64	35.28624
45.68	35.28569
45.72	35.29057
45.76	35.26891
45.8	35.28326
45.84	35.28812
45.88	35.28697
45.92	35.28351
45.96	35.28633
46.0	35.28857
46.04	35.28992
46.08	35.28665
46.12	35.28798
46.16	35.2914
46.2	35.29225
46.24	35.28677
46.28	35.28703
46.32	35.28691
46.36	35.29074
46.4	35.28781
46.44	35.28911
46.48	35.28911
46.52	35.29362
46.56	35.29648
46.6	35.29665
46.64	35.29247
46.68	35.29369
46.72	35.29842
46.76	35.29428
46.8	35.29382
46.84	35.29175
46.88	35.29485
46.92	35.29247
46.96	35.29675
47.0	35.29202
47.04	35.29289
47.08	35.28851
47.12	35.29129
47.16	35.28664
47.2	35.28654
47.24	35.28516
47.28	35.28932
47.32	35.28658
47.36	35.29337
47.4	35.28885
47.44	35.28477
47.48	35.28651
47.52	35.28851
47.56	35.28773
47.6	35.29024
47.64	35.28746
47.68	35.28697
47.72	35.28838
47.76	35.28596
47.8	35.29105
47.84	35.28641
47.88	35.28763
47.92	35.28636
47.96	35.29089
48.0	35.29018
48.04	35.2901
48.08	35.28796
48.12	35.28847
48.16	35.28877
48.2	35.289
48.24	35.28952
48.28	35.2878
48.32	35.28653
48.36	35.28659
48.4	35.29018
48.44	35.29385
48.48	35.29245
48.52	35.28688
48.56	35.28696
48.6	35.28572
48.64	35.29051
48.68	35.29025
48.72	35.29041
48.76	35.29066
48.8	35.28613
48.84	35.28453
48.88	35.28511
48.92	35.28946
48.96	35.29033
49.0	35.28679
49.04	35.28674
49.08	35.28624
49.12	35.29086
49.16	35.29076
49.2	35.2847
49.24	35.28297
49.28	35.28815
49.32	35.28929
49.36	35.28636
49.4	35.28448
49.44	35.28426
49.48	35.28841
49.52	35.28783
49.56	35.28371
49.6	35.28522
49.64	35.28807
49.68	35.28865
49.72	35.29056
49.76	35.28444
49.8	35.29051
49.84	35.28925
49.88	35.28867
49.92	35.28598
49.96	35.28821
50.0	35.29025
50.04	35.29025
50.08	35.28963
50.12	35.28592
50.16	35.28604
50.2	35.285
50.24	35.28784
50.28	35.28905
50.32	35.28914
50.36	35.28427
50.4	35.28227
50.44	35.28246
50.48	35.28506
50.52	35.28777
50.56	35.28529
50.6	35.28302
50.64	35.28246
50.68	35.28557
50.72	35.28461
50.76	35.28885
50.8	35.28333
50.84	35.28291
50.88	35.28319
50.92	35.28838
50.96	35.28647
51.0	35.28575
51.04	35.2831
51.08	35.2849
51.12	35.28444
51.16	35.28378
51.2	35.28271
51.24	35.28636
51.28	35.28812
51.32	35.28905
51.36	35.2818
51.4	35.28185
51.44	35.28316
51.48	35.28859
51.52	35.28149
51.56	35.27638
51.6	35.28159
51.64	35.28609
51.68	35.28307
51.72	35.28453
51.76	35.28185
51.8	35.2868
51.84	35.28485
51.88	35.28291
51.92	35.28078
51.96	35.28491
52.0	35.28293
52.04	35.28104
52.08	35.28079
52.12	35.28015
52.16	35.28162
52.2	35.28387
52.24	35.27998
52.28	35.28055
52.32	35.28036
52.36	35.28438
52.4	35.2834
52.44	35.28616
52.48	35.28152
52.52	35.28342
52.56	35.28271
52.6	35.28377
52.64	35.28177
52.68	35.27942
52.72	35.28
52.76	35.28499
52.8	35.28268
52.84	35.28107
52.88	35.28152
52.92	35.28235
52.96	35.28654
53.0	35.28595
53.04	35.28177
53.08	35.28543
53.12	35.28125
53.16	35.28297
53.2	35.27811
53.24	35.28075
53.28	35.28035
53.32	35.28331
53.36	35.28299
53.4	35.28012
53.44	35.28003
53.48	35.27911
53.52	35.28485
53.56	35.28455
53.6	35.27867
53.64	35.28137
53.68	35.27991
53.72	35.27853
53.76	35.28096
53.8	35.27959
53.84	35.28156
53.88	35.27937
53.92	35.27936
53.96	35.28172
54.0	35.28439
54.04	35.28178
54.08	35.2791
54.12	35.27943
54.16	35.2822
54.2	35.28201
54.24	35.27986
54.28	35.2787
54.32	35.28235
54.36	35.28085
54.4	35.27783
54.44	35.27815
