Relative Intensity Alessio_doubleslit_0.04_0.25_1.5_lampadina	Position (m) Alessio_doubleslit_0.04_0.25_1.5_lampadina
0.1137695	-0.0522318
0.1118774	-0.05227125
0.109726	-0.05229098
0.1097412	-0.0523107
0.1163483	-0.05236988
0.1366272	-0.05274465
0.136261	-0.05304053
0.1266937	-0.05323778
0.1098938	-0.05347448
0.0843964	-0.05375063
0.0704651	-0.05398733
0.0714417	-0.05434238
0.1007843	-0.05469743
0.1224518	-0.05489468
0.1374969	-0.05501303
0.1377411	-0.05503275
0.1380005	-0.05501303
0.1379547	-0.05495385
0.1364441	-0.05495385
0.1374969	-0.05495385
0.1383514	-0.05495385
0.1367798	-0.05495385
0.1372833	-0.05495385
0.1387177	-0.05501303
0.1373901	-0.05501303
0.1376648	-0.05503275
0.1507721	-0.05524973
0.1545258	-0.05580203
0.1261444	-0.05605845
0.1082306	-0.05631488
0.0771179	-0.05661075
0.0750732	-0.05666993
0.0724335	-0.05708415
0.0881653	-0.05741948
0.0918121	-0.05749838
0.0996552	-0.05787315
0.0972748	-0.05809013
0.096405	-0.05810985
0.096283	-0.05810985
0.0965729	-0.05809013
0.0961761	-0.05803095
0.0960388	-0.05803095
0.0968933	-0.05803095
0.0962677	-0.05803095
0.0969696	-0.05803095
0.0959625	-0.05809013
0.0961456	-0.05809013
0.0950012	-0.05810985
0.0730896	-0.05844518
0.0531006	-0.05897775
0.0461884	-0.05919473
0.0434265	-0.05958923
0.0424652	-0.05974703
0.0422974	-0.05998373
0.0429687	-0.0602796
0.0426483	-0.06045713
0.0413818	-0.06081218
0.0398254	-0.06124613
0.0393219	-0.06140393
0.0392609	-0.06142365
0.0389862	-0.06140393
0.0392914	-0.0613842
0.0391846	-0.0613842
0.0395508	-0.0613842
0.0395203	-0.0613842
0.0395355	-0.0613842
0.0396271	-0.06140393
0.0388794	-0.06140393
0.0393829	-0.06142365
0.039566	-0.06148283
0.0522156	-0.06229155
0.0685883	-0.06268605
0.0712738	-0.06278468
0.0807037	-0.06321863
0.0801239	-0.06337643
0.0727234	-0.06371175
0.0647278	-0.06418515
0.0678253	-0.0643035
0.0780334	-0.06448103
0.1052551	-0.06473745
0.1068573	-0.06473745
0.1056671	-0.06473745
0.1057434	-0.06471773
0.1038513	-0.06471773
0.1046295	-0.06471773
0.1044922	-0.06471773
0.1056824	-0.06471773
0.1036224	-0.06473745
0.1051025	-0.06473745
0.105072	-0.06473745
0.1098785	-0.0648558
0.1803436	-0.06558563
0.190155	-0.06578288
0.1865692	-0.06590123
0.1401978	-0.06625628
0.1160583	-0.0664338
0.0998535	-0.0668283
0.1115723	-0.06702555
0.1530609	-0.06726225
0.2314911	-0.0676173
0.2503662	-0.06771593
0.2525635	-0.06771593
0.2530365	-0.06771593
0.2508545	-0.06771593
0.2509613	-0.06771593
0.2503052	-0.06771593
0.25177	-0.06771593
0.2507172	-0.06771593
0.2527924	-0.06771593
0.2496033	-0.06771593
0.2486877	-0.06771593
0.2470093	-0.06771593
0.2468872	-0.06771593
0.2524719	-0.06773565
0.2987671	-0.06805125
0.2685089	-0.06852465
0.2385406	-0.06868245
0.1557312	-0.06915585
0.1591949	-0.06947145
0.1926727	-0.06962925
0.3173065	-0.07000403
0.3515472	-0.07010265
0.3959198	-0.070221
0.4767456	-0.0705366
0.475647	-0.0705366
0.4753113	-0.07051688
0.474762	-0.07051688
0.4740448	-0.07051688
0.4732208	-0.07051688
0.4746246	-0.07051688
0.4751129	-0.07051688
0.4709778	-0.07051688
0.4726257	-0.07051688
0.4728699	-0.07051688
0.4756317	-0.0705366
0.4782867	-0.0705366
0.4575195	-0.07102973
0.2983551	-0.07142423
0.2973328	-0.07142423
0.2770386	-0.07152285
0.22789	-0.07166093
0.1960297	-0.07181873
0.1935272	-0.07191735
0.2194519	-0.07207515
0.3600311	-0.07262745
0.4093628	-0.07294305
0.4113464	-0.0731403
0.3712158	-0.07341645
0.3701782	-0.07341645
0.3685913	-0.07341645
0.3683777	-0.07341645
0.3708344	-0.07341645
0.3697357	-0.07341645
0.3703308	-0.07341645
0.3696899	-0.07341645
0.368515	-0.07341645
0.368042	-0.07341645
0.367691	-0.07341645
0.3694916	-0.07341645
0.3669891	-0.0734559
0.2998657	-0.0737715
0.1637115	-0.07428435
0.1084747	-0.07467885
0.1249542	-0.0751128
0.1292419	-0.0754284
0.1261292	-0.07554675
0.1069489	-0.0759018
0.0972748	-0.07603988
0.0895538	-0.07615823
0.0885315	-0.07615823
0.088501	-0.07615823
0.0881958	-0.07615823
